CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,nucIntens0,nucIntens1,nucIntens2,nucIntens3
21,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,300,4130,920,2126,1273
22,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,300,2636,1007,1967,1172
23,0,4,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,300,2802,919,2021,1199
24,5,18,5,18,0,0,2,23,0,0,0,0,0,0,0,0,0,0,300,3961,1316,4484,1336
25,4,5,4,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,300,3998,1304,5200,1313
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2238,896,2984,1123
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2540,981,2916,1198
28,97,51,93,47,4,26,0,144,0,0,0,0,0,0,0,0,0,0,300,3983,1525,3377,1334
29,53,10,53,10,0,18.5,0,63,0,0,0,0,0,0,0,0,0,0,300,3436,1429,3211,1298
30,0,24,0,24,0,0,1,24,0,0,0,0,0,0,0,0,0,0,300,4832,1228,7784,1362
31,0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,300,4560,1241,7771,1352
32,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,300,5059,1143,8059,1343
33,0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,300,3343,1117,5834,1333
34,0,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,300,4412,1062,6820,1369
35,10,123,5,118,5,0,5,128,0,0,0,0,0,0,0,0,0,0,300,3703,1413,7408,1492
36,16,37,16,37,0,0,2,53,0,0,0,0,0,0,0,0,0,0,300,4025,1408,8955,1426
37,8,44,7,43,1,0,4,51,0,0,0,0,0,0,0,0,0,0,300,3819,1261,6527,1403
38,3,12,3,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,300,4228,1199,7537,1284
39,19,111,14,106,5,0,9,125,0,1,0,0,0,0,9,0,0,0,300,4560,1467,9890,1367
40,4,12,4,12,0,1,0,16,0,0,0,0,0,0,0,0,0,0,300,3225,1390,12933,1336
41,5,21,5,21,0,0,0,26,0,0,0,0,0,0,0,0,0,0,300,4210,1486,7706,1386
42,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,2646,1313,5567,1250
43,0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,300,3703,1232,7740,1350
44,48,8,48,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,300,4084,1754,9398,1357
45,2,8,2,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,300,3585,1162,6158,1330
46,16,40,15,39,1,0,3,55,0,0,0,0,0,0,0,0,0,0,300,5473,1660,5979,1358
47,0,24,0,24,0,0,2,24,0,0,0,0,0,0,0,0,0,0,300,4723,1437,5241,1326
48,0,48,0,48,0,0,6,48,0,0,0,0,0,0,0,0,0,0,300,4173,995,7255,1344
49,0,22,0,22,0,0,1,22,0,0,0,0,0,0,0,0,0,0,300,3839,1312,8063,1380
50,0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,300,3674,1239,5921,1356
51,0,12,0,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,300,3368,1296,4836,1223
52,9,34,9,34,0,0,4,43,0,0,0,0,0,0,0,0,0,0,300,4248,1399,6156,1308
53,2,13,2,13,0,0,1,15,0,0,0,0,0,0,0,0,0,0,300,2995,1311,5487,1222
54,7,27,7,27,0,0,0,34,0,0,0,0,0,0,0,0,0,0,300,5897,1458,8081,1435
55,83,78,69,63,14,1,1,146,0,0,0,0,0,0,0,0,0,0,300,5783,1836,9065,1422
56,9,31,9,31,0,0,2,40,0,4,0,0,0,0,51,23,13,12,300,3475,1391,5481,1402
57,9,21,9,21,0,1,0,30,0,0,0,0,0,0,0,0,0,0,300,3008,1402,5576,1244
58,24,65,14,54,10,0,3.5,78,0,0,0,0,0,0,0,0,0,0,300,3749,1451,5692,1426
59,21,73,17,69,4,0,1,90,0,0,0,0,0,0,0,0,0,0,300,3153,1395,5127,1309
60,9,18,9,18,0,0,0,27,0,0,0,0,0,0,0,0,0,0,300,3511,1426,6554,1320
61,15,25,15,25,0,0,0,40,0,0,0,0,0,0,0,0,0,0,300,3030,1366,6437,1299
