CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,nucIntens0,nucIntens1,nucIntens2,nucIntens3
67,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2680,1306,4963,1165
68,13,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3321,1422,5734,1210
69,436,366,192,119,244,4,6.5,555,1,1,46,0,0,0,56,0,0,0,0,4930,2350,6068,1903
70,6,2,6,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3914,1510,5367,1241
71,333,278,125,59,208,4,6.5,392,2,1,72,5,0,0,55,0,0,0,0,3299,2263,7257,1815
72,2,2,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3343,1272,5270,1179
73,7,2,7,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3338,1407,6845,1209
74,161,129,65,31,96,0,3,192,1,1,54,0,0,0,35,0,0,0,0,3039,1930,6506,1482
75,138,174,66,103,71,1,1,240,2,1,35,5,0,0,29,0,0,0,0,2005,1594,4836,1358
79,243,218,54,30,188,4.5,3,272,2,1,21,7,0,0,31,0,0,0,0,3405,1936,7385,1679
80,283,276,85,74,198,5,5,357,2,1,81,6,0,0,89,0,0,0,0,3600,2093,7818,1977
81,429,364,200,135,229,6,7,564,1,1,75,0,0,0,52,0,0,0,0,3771,2428,6129,1759
82,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,3337,1674,6350,1249
83,322,303,108,93,210,4,9,411,1,1,21,0,0,0,14,0,0,0,0,3430,1934,8090,1860
84,296,306,125,135,171,0,1,431,1,1,67,0,0,0,62,0,0,0,0,2917,1904,5674,1559
85,34,5,34,5,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,3053,1635,6805,1211
86,321,293,126,97,195,3,3,418,1,1,19,0,0,0,19,0,0,0,0,2907,1806,6437,1638
88,152,181,33,60,119,0,1,212,1,2,33,0,0,0,40,5,0,0,0,2208,1493,5849,1359
90,127,127,48,49,78,1.5,0,175,1,1,22,0,0,0,18,0,0,0,0,2274,1504,6545,1285
91,291,308,68,81,223,2,8,372,1,2,57,0,0,0,59,5,0,0,0,3443,1989,7866,1993
92,400,307,165,74,233,5,5,472,1,1,15,0,0,0,11,0,0,0,0,2926,2139,6052,1521
93,443,376,129,70,306,7,3,505,2,1,41,7,0,0,38,0,0,0,0,4185,2222,7726,1791
94,170,149,56,37,112,2,0,205,0,0,0,0,0,0,0,0,0,0,0,3515,1732,8603,1445
97,517,417,202,93,315,10.5,11,610,1,2,80,0,0,0,64,5,0,0,0,4130,2573,7910,1986
98,408,294,182,74,220,7.5,4,476,1,1,46,0,0,0,30,0,0,0,0,3413,2308,5964,1536
99,330,336,95,88,235,9,17.5,418,2,6,135,6,0,0,142,11,9,6,0,4023,2130,8979,2258
101,206,177,74,44,132,0,2,250,1,1,49,0,0,0,40,0,0,0,0,3390,1906,8469,1450
102,88,5,88,5,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,2986,1764,8362,1226
