,image_id,cell_id,spot_id,nuc_loc_y,nuc_loc_x,cyto_loc_y,cyto_loc_x,nuc_area_px,cyto_area_px,cell_area_px,z,y,x,is_nuc,is_cluster,cluster_size,spot_type,is_cell_fragmented,nuc_int_ch_0,nuc_int_ch_1,nuc_int_ch_2,nuc_int_ch_3,cyto_int_ch_0,cyto_int_ch_1,cyto_int_ch_2,cyto_int_ch_3,spot_int_ch_0,spot_int_ch_1,spot_int_ch_2,spot_int_ch_3
23,0,1,22,279,247,0,0,5462,0,0,8,310,250,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-811.9333333333334,946.3333333333333,-227.66666666666674,116.5333333333333
24,0,1,23,279,247,0,0,5462,0,0,10,251,269,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,387.8666666666668,945.8666666666666,296.66666666666674,573.5999999999999
25,0,1,24,279,247,0,0,5462,0,0,10,292,261,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-130.66666666666652,873.1333333333334,13.733333333333348,-77.66666666666663
26,0,1,25,279,247,0,0,5462,0,0,11,297,227,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,360.0666666666666,922.7333333333333,-269.5999999999999,-24.600000000000023
27,0,1,26,279,247,0,0,5462,0,0,11,268,279,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,303.6666666666665,818.0,-164.4000000000001,34.799999999999955
28,0,1,27,279,247,0,0,5462,0,0,11,283,234,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,150.19999999999982,958.0666666666666,-326.33333333333326,-62.66666666666663
29,0,1,28,279,247,0,0,5462,0,0,11,299,223,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-387.8666666666668,634.2666666666667,392.33333333333326,-211.5333333333333
30,0,1,29,279,247,0,0,5462,0,0,14,276,234,1,0,0,0,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-706.0,805.5333333333333,506.73333333333335,142.5999999999999
31,0,2,-1,409,296,0,0,5994,0,0,-1,-1,-1,-1,-1,-1,-1,-1,5708.5457,1134.5485,6597.7503,1403.8896,0.0,0.0,0.0,0.0,-548.7333333333331,677.0666666666666,-158.20000000000005,482.5333333333333
32,0,3,-1,463,380,0,0,7202,0,0,-1,-1,-1,-1,-1,-1,-1,-1,4579.2086,1007.3137,5432.5385,1325.1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0,0,236,390,0,0,6145,0,0,11,251,407,1,1,2,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-2485.7619047619046,-185.52380952380963,50.714285714285325,1391.9047619047615
34,0,0,1,236,390,0,0,6145,0,0,11,261,348,1,1,2,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-1128.333333333333,-548.5238095238096,166.28571428571468,1568.9047619047615
35,0,0,2,236,390,0,0,6145,0,0,13,213,372,1,1,2,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,1340.2380952380954,667.1904761904761,-680.7142857142853,1045.9047619047615
36,0,0,3,236,390,0,0,6145,0,0,14,243,371,1,1,2,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,1095.2857142857138,-543.0952380952381,-486.80952380952385,488.0
37,0,0,4,236,390,0,0,6145,0,0,5,255,360,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,121.59999999999991,-140.86666666666667,-825.666666666667,529.2666666666667
38,0,0,5,236,390,0,0,6145,0,0,6,209,381,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-364.7333333333331,45.0,-1001.4666666666667,539.6666666666667
39,0,0,6,236,390,0,0,6145,0,0,6,225,435,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,907.4000000000001,-72.86666666666667,173.80000000000018,460.6
40,0,0,7,236,390,0,0,6145,0,0,7,206,406,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-203.66666666666652,-51.06666666666672,-471.1333333333332,554.6666666666666
41,0,0,8,236,390,0,0,6145,0,0,7,208,387,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-308.6666666666665,104.33333333333337,21.59999999999991,505.20000000000005
42,0,0,9,236,390,0,0,6145,0,0,7,255,430,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-291.5333333333333,-34.133333333333326,808.9333333333334,1138.7333333333333
43,0,0,10,236,390,0,0,6145,0,0,8,247,345,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,701.7333333333331,111.5333333333333,8.466666666666697,251.20000000000005
44,0,0,11,236,390,0,0,6145,0,0,10,224,374,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-464.2666666666669,-0.6666666666666288,-182.26666666666665,523.1333333333334
45,0,0,12,236,390,0,0,6145,0,0,12,220,430,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,637.0666666666666,129.20000000000005,-370.79999999999995,549.7333333333333
46,0,0,13,236,390,0,0,6145,0,0,13,247,384,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,13.599999999999909,-87.5333333333333,212.4000000000001,411.66666666666674
47,0,0,14,236,390,0,0,6145,0,0,14,225,381,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,661.9333333333334,-220.79999999999995,70.33333333333326,639.7333333333333
48,0,0,15,236,390,0,0,6145,0,0,14,255,402,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-57.666666666666515,208.33333333333337,70.73333333333335,566.2
49,0,0,16,236,390,0,0,6145,0,0,14,275,363,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-123.33333333333337,-102.5333333333333,-225.33333333333326,482.26666666666665
50,0,0,17,236,390,0,0,6145,0,0,15,243,352,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,406.0,256.8666666666667,-200.0666666666666,423.86666666666656
51,0,0,18,236,390,0,0,6145,0,0,15,244,362,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-461.1333333333332,-465.79999999999995,131.4666666666667,1027.4666666666667
52,0,0,19,236,390,0,0,6145,0,0,15,265,356,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,351.86666666666656,-67.39999999999998,618.5999999999999,604.3333333333333
