Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
256,0,10,25,35,1,0
105,0,12,13,25,2,0
78,0,39,98,137,1,0
309,0,8,21,29,2,0
69,0,38,116,154,3,0
460,0,16,47,63,3,0
489,0,3,19,22,3,0
260,0,7,8,15,2,0
291,0,40,49,89,3,0
328,0,19,29,48,1,0
341,0,22,29,51,3,0
270,0,13,18,31,1,0
39,0,7,27,34,3,0
340,0,47,59,106,3,0
362,0,16,30,46,1,0
8,0,14,53,67,3,0
109,0,27,44,71,2,0
285,0,8,9,17,1,0
301,0,0,0,0,2,0
302,0,5,29,34,2,0
234,0,5,43,48,1,0
392,0,23,39,62,3,0
262,0,10,9,19,3,0
363,0,44,48,92,3,0
269,0,14,25,39,1,0
53,0,15,11,26,2,0
83,0,1,3,4,3,0
232,0,29,66,95,3,0
421,0,21,39,60,3,0
284,0,30,53,83,1,0
41,0,42,61,103,3,0
318,0,53,137,190,1,0
167,0,24,71,95,3,0
337,0,8,20,28,3,0
184,0,7,6,13,3,0
174,0,33,38,71,2,0
171,0,44,93,137,3,0
276,0,26,92,118,3,0
341,0,4,26,30,2,0
17,0,13,29,42,3,0
7,0,35,94,129,1,0
168,0,23,26,49,2,0
286,0,32,44,76,3,0
83,0,11,27,38,2,0
176,0,37,89,126,1,0
186,0,12,42,54,3,0
208,0,2,14,16,2,0
91,0,12,19,31,1,0
238,0,6,14,20,3,0
352,0,71,131,202,3,0
189,0,19,26,45,1,0
96,0,15,32,47,3,0
191,0,13,31,44,3,0
199,0,2,5,7,1,0
66,0,19,56,75,1,0
247,0,13,23,36,1,0
338,0,29,58,87,2,0
8,0,50,91,141,1,0
113,0,11,40,51,3,0
202,0,9,52,61,1,0
97,0,14,26,40,2,0
36,0,24,41,65,1,0
38,0,22,43,65,3,0
153,0,46,95,141,3,0
378,0,5,13,18,1,0
296,0,1,2,3,2,0
283,0,5,14,19,2,0
39,0,84,284,368,1,0
124,0,32,38,70,2,0
321,0,19,43,62,2,0
75,0,23,44,67,2,0
364,0,12,34,46,1,0
62,0,29,46,75,2,0
343,0,12,18,30,3,0
348,0,37,90,127,1,0
165,0,0,10,10,1,0
48,0,74,78,152,2,0
61,0,10,23,33,3,0
412,0,37,67,104,1,0
403,0,24,52,76,1,0
414,0,17,6,23,3,0
122,0,65,133,198,3,0
429,0,7,20,27,3,0
1,0,12,7,19,3,0
28,0,14,35,49,1,0
349,0,21,39,60,3,0
424,0,55,101,156,3,0
56,0,25,34,59,1,0
93,0,30,95,125,1,0
96,0,39,53,92,1,0
25,0,2,16,18,1,0
129,0,39,66,105,3,0
399,0,18,34,52,3,0
67,0,23,16,39,2,0
133,0,16,32,48,2,0
381,0,7,7,14,3,0
222,0,6,11,17,2,0
335,0,3,2,5,2,0
293,0,5,15,20,2,0
268,0,64,96,160,3,0
3630,90,96,189,285,1,100
3523,90,47,31,78,1,100
3122,90,143,232,375,2,100
4136,90,116,171,287,3,100
3432,90,15,96,111,2,100
4307,90,131,275,406,3,100
3472,90,156,416,572,1,100
3444,90,93,292,385,2,100
4040,90,72,120,192,3,100
4054,90,24,34,58,3,100
3325,90,173,287,460,1,100
4191,90,35,33,68,3,100
4155,90,125,183,308,3,100
4185,90,37,55,92,3,100
4156,90,96,175,271,3,100
3127,90,132,83,215,2,100
3310,90,69,161,230,1,100
3906,90,105,157,262,3,100
4075,90,149,169,318,3,100
3969,90,65,190,255,3,100
3588,90,82,132,214,1,100
3314,90,86,133,219,2,100
4180,90,86,104,190,3,100
4267,90,97,202,299,3,100
3484,90,48,102,150,1,100
3354,90,13,32,45,1,100
3579,90,66,168,234,1,100
3903,90,141,190,331,3,100
4009,90,111,321,432,3,100
3342,90,52,107,159,2,100
3434,90,50,113,163,1,100
3542,90,49,78,127,1,100
3225,90,31,34,65,2,100
3883,90,46,82,128,3,100
3574,90,91,144,235,1,100
3260,90,89,126,215,2,100
3539,90,99,233,332,1,100
4253,90,37,87,124,3,100
3403,90,171,243,414,2,100
4278,90,86,120,206,3,100
3296,90,149,97,246,2,100
4289,90,91,188,279,3,100
4195,90,88,134,222,3,100
3413,90,81,214,295,1,100
3286,90,49,183,232,1,100
3166,90,165,154,319,2,100
4277,90,104,255,359,3,100
3283,90,37,125,162,2,100
4240,90,163,248,411,3,100
3411,90,25,41,66,1,100
3355,90,55,105,160,1,100
4190,90,113,212,325,3,100
3259,90,19,53,72,1,100
3371,90,116,163,279,2,100
3419,90,55,112,167,1,100
3315,90,144,153,297,2,100
4093,90,81,99,180,3,100
4323,90,52,68,120,3,100
3366,90,27,63,90,2,100
3890,90,89,91,180,3,100
4319,90,74,132,206,3,100
4071,90,74,153,227,3,100
4159,90,126,224,350,3,100
3140,90,32,120,152,2,100
3995,90,57,161,218,3,100
3280,90,37,107,144,2,100
4100,90,51,128,179,3,100
3197,90,72,67,139,2,100
3224,90,60,125,185,2,100
3363,90,74,92,166,2,100
4091,90,61,120,181,3,100
3471,90,41,90,131,2,100
3423,90,84,177,261,1,100
3373,90,28,38,66,2,100
3576,90,122,273,395,1,100
3392,90,82,110,192,1,100
3427,90,57,87,144,1,100
3247,90,215,364,579,2,100
3292,90,97,135,232,1,100
3439,90,53,127,180,2,100
3134,90,82,207,289,2,100
3394,90,5,15,20,1,100
3355,90,75,199,274,2,100
3328,90,63,151,214,2,100
3430,90,94,143,237,1,100
3300,90,35,36,71,2,100
3373,90,92,144,236,1,100
3932,90,70,418,488,3,100
3996,90,33,59,92,3,100
3401,90,86,150,236,1,100
3529,90,62,160,222,1,100
3389,90,26,78,104,2,100
3173,90,193,277,470,2,100
3428,90,48,199,247,2,100
3454,90,88,125,213,2,100
4309,90,114,116,230,3,100
3155,90,85,121,206,2,100
3433,90,0,2,2,1,100
4320,90,115,340,455,3,100
3393,90,162,161,323,2,100
4259,180,67,73,140,2,100
4391,180,51,112,163,2,100
4454,180,8,18,26,2,100
5389,180,183,242,425,3,100
4274,180,45,43,88,2,100
5762,180,1,7,8,3,100
5646,180,95,190,285,3,100
4891,180,86,198,284,1,100
4757,180,58,95,153,1,100
5776,180,255,142,397,3,100
5540,180,7,50,57,3,100
4484,180,49,58,107,2,100
5354,180,62,108,170,3,100
5498,180,141,235,376,3,100
5702,180,34,110,144,3,100
4416,180,46,163,209,2,100
5002,180,19,4,23,1,100
5784,180,59,109,168,3,100
4843,180,98,129,227,1,100
5374,180,44,48,92,3,100
5707,180,159,223,382,3,100
4262,180,103,163,266,2,100
4459,180,24,39,63,2,100
4269,180,37,57,94,2,100
4670,180,52,82,134,1,100
5648,180,173,229,402,3,100
4927,180,50,99,149,1,100
4355,180,37,55,92,2,100
5759,180,17,39,56,3,100
4645,180,31,48,79,2,100
4452,180,66,149,215,2,100
4865,180,7,15,22,1,100
4910,180,65,104,169,1,100
4987,180,88,134,222,1,100
4605,180,18,62,80,2,100
4301,180,27,51,78,2,100
4403,180,133,182,315,2,100
4518,180,117,190,307,2,100
4783,180,64,104,168,1,100
5484,180,57,46,103,3,100
4349,180,25,61,86,2,100
5636,180,132,196,328,3,100
5683,180,77,108,185,3,100
4425,180,30,30,60,2,100
5718,180,61,117,178,3,100
4500,180,22,34,56,2,100
4743,180,83,120,203,1,100
5426,180,38,62,100,3,100
4986,180,76,67,143,1,100
4280,180,28,49,77,2,100
5796,180,84,189,273,3,100
4745,180,59,101,160,1,100
4641,180,70,138,208,1,100
4275,180,2,3,5,2,100
4530,180,51,79,130,2,100
4407,180,50,99,149,2,100
4785,180,158,240,398,1,100
4668,180,48,102,150,1,100
4552,180,46,47,93,2,100
4712,180,52,67,119,1,100
5483,180,84,86,170,3,100
5359,180,19,57,76,3,100
4732,180,29,46,75,1,100
5515,180,98,143,241,3,100
5433,180,97,171,268,3,100
5530,180,89,165,254,3,100
4537,180,118,226,344,2,100
5339,180,38,63,101,3,100
5408,180,96,197,293,3,100
5738,180,77,66,143,3,100
4359,180,65,99,164,2,100
5335,180,106,190,296,3,100
4841,180,125,279,404,1,100
4791,180,132,220,352,1,100
4376,180,106,226,332,2,100
5382,180,21,47,68,3,100
5542,180,28,51,79,3,100
5816,180,93,202,295,3,100
5621,180,77,96,173,3,100
4475,180,24,41,65,2,100
5439,180,156,242,398,3,100
4674,180,8,11,19,1,100
5537,180,105,170,275,3,100
4641,180,104,188,292,2,100
5705,180,88,117,205,3,100
4871,180,33,82,115,1,100
4682,180,43,67,110,1,100
5452,180,89,103,192,3,100
4588,180,68,116,184,2,100
4679,180,96,108,204,1,100
5561,180,85,189,274,3,100
5607,180,89,153,242,3,100
4925,180,69,133,202,1,100
4371,180,0,9,9,2,100
4789,180,71,116,187,1,100
5710,180,78,175,253,3,100
4502,180,54,73,127,2,100
4932,180,103,157,260,1,100
5555,180,144,219,363,3,100
4501,180,38,76,114,2,100
