Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
4079,90,121,154,275,3,100
3253,90,84,182,266,2,100
3494,90,98,158,256,1,100
3588,90,82,132,214,1,100
3953,90,45,36,81,3,100
3411,90,24,37,61,2,100
3427,90,99,153,252,2,100
3352,90,118,252,370,1,100
3263,90,88,154,242,1,100
4047,90,111,76,187,3,100
4596,180,61,120,181,2,100
4572,180,133,220,353,2,100
4569,180,85,187,272,2,100
4538,180,80,143,223,2,100
4454,180,8,18,26,2,100
4891,180,86,198,284,1,100
5410,180,74,43,117,3,100
4732,180,29,46,75,1,100
5775,180,79,67,146,3,100
4455,180,8,6,14,2,100
5802,180,140,143,283,3,100
5660,180,33,71,104,3,100
4639,180,150,344,494,1,100
4435,180,87,88,175,2,100
5681,180,101,135,236,3,100
4696,180,71,99,170,1,100
4607,180,87,140,227,2,100
4700,180,61,76,137,1,100
5647,180,208,205,413,3,100
4670,180,52,82,134,1,100
4303,180,50,94,144,2,100
4460,180,131,73,204,2,100
4579,180,86,150,236,2,100
4875,180,42,73,115,1,100
5738,180,77,66,143,3,100
4256,180,39,64,103,2,100
4442,180,95,174,269,2,100
5650,180,81,134,215,3,100
4681,180,59,134,193,1,100
5453,180,98,137,235,3,100
5491,180,47,114,161,3,100
5516,180,19,41,60,3,100
4771,180,74,127,201,1,100
4674,180,8,11,19,1,100
4666,180,61,211,272,1,100
4423,180,98,253,351,2,100
5676,180,74,146,220,3,100
4721,180,8,26,34,1,100
4999,180,18,17,35,1,100
4592,180,41,65,106,2,100
4899,180,27,72,99,1,100
5807,180,36,51,87,3,100
4592,180,86,128,214,1,100
5662,180,28,117,145,3,100
5588,180,24,46,70,3,100
4404,180,35,58,93,2,100
4580,180,146,184,330,2,100
4691,180,39,132,171,1,100
4825,180,55,53,108,1,100
5706,180,53,123,176,3,100
5349,180,76,120,196,3,100
5653,180,99,182,281,3,100
5810,180,78,113,191,3,100
4634,180,89,159,248,1,100
4800,180,47,100,147,1,100
5464,180,16,39,55,3,100
4927,180,50,99,149,1,100
5716,180,82,77,159,3,100
4627,180,44,77,121,1,100
5759,180,17,39,56,3,100
4583,180,57,71,128,2,100
4805,180,107,191,298,1,100
4500,180,22,34,56,2,100
4474,180,30,33,63,2,100
4549,180,40,64,104,2,100
4924,180,27,48,75,1,100
5760,180,21,18,39,3,100
4892,180,21,46,67,1,100
5632,180,144,176,320,3,100
4939,180,37,34,71,1,100
5594,180,55,70,125,3,100
4600,180,54,117,171,2,100
4624,180,157,203,360,1,100
4638,180,109,193,302,2,100
5688,180,60,106,166,3,100
5485,180,89,172,261,3,100
5343,180,72,143,215,3,100
4965,180,23,73,96,1,100
4984,180,28,83,111,1,100
5609,180,81,191,272,3,100
4295,180,69,84,153,2,100
4750,180,86,122,208,1,100
5602,180,91,96,187,3,100
5361,180,109,119,228,3,100
5616,180,104,205,309,3,100
4735,180,44,146,190,1,100
5465,180,72,138,210,3,100
4755,180,40,113,153,1,100
5808,180,32,57,89,3,100
4714,180,122,109,231,1,100
4331,180,259,356,615,2,100
4968,180,9,28,37,1,100
4930,180,52,149,201,1,100
5527,180,33,55,88,3,100
5556,180,40,94,134,3,100
4587,180,99,138,237,2,100
4429,180,69,83,152,2,100
5586,180,132,254,386,3,100
4432,180,57,88,145,2,100
4621,180,15,38,53,1,100
