Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
415,0,10,25,35,1,0
464,0,19,52,71,3,0
247,0,54,91,145,3,0
244,0,12,38,50,1,0
186,0,12,42,54,3,0
331,0,7,12,19,1,0
322,0,2,14,16,2,0
43,0,7,48,55,2,0
316,0,15,24,39,1,0
27,0,60,116,176,1,0
490,0,9,20,29,3,0
11,0,13,40,53,3,0
80,0,6,10,16,2,0
302,0,15,20,35,3,0
158,0,46,65,111,2,0
65,0,27,40,67,1,0
292,0,9,30,39,1,0
208,0,16,25,41,1,0
93,0,5,19,24,2,0
61,0,18,24,42,2,0
213,0,4,18,22,1,0
377,0,5,3,8,1,0
401,0,26,82,108,1,0
163,0,33,40,73,2,0
334,0,13,22,35,2,0
448,0,21,68,89,3,0
325,0,5,32,37,2,0
9,0,54,114,168,2,0
247,0,3,25,28,2,0
303,0,48,134,182,1,0
49,0,38,45,83,2,0
129,0,22,24,46,2,0
328,0,16,32,48,2,0
215,0,4,13,17,1,0
54,0,20,54,74,3,0
134,0,4,12,16,2,0
74,0,22,70,92,2,0
307,0,10,16,26,3,0
419,0,15,43,58,1,0
302,0,5,29,34,2,0
273,0,36,57,93,3,0
119,0,19,49,68,2,0
218,0,17,40,57,1,0
406,0,9,35,44,1,0
141,0,13,69,82,3,0
283,0,5,14,19,2,0
23,0,38,103,141,2,0
83,0,1,3,4,3,0
333,0,8,30,38,3,0
404,0,28,43,71,3,0
354,0,14,44,58,1,0
354,0,13,31,44,2,0
125,0,7,28,35,1,0
179,0,3,2,5,3,0
270,0,13,18,31,1,0
47,0,14,15,29,2,0
40,0,10,29,39,2,0
68,0,115,109,224,1,0
328,0,1,22,23,3,0
15,0,25,31,56,2,0
412,0,10,6,16,3,0
103,0,43,59,102,2,0
117,0,14,20,34,1,0
320,0,46,62,108,1,0
39,0,19,25,44,2,0
250,0,5,6,11,1,0
197,0,9,23,32,3,0
240,0,8,31,39,3,0
58,0,42,84,126,1,0
288,0,3,7,10,2,0
51,0,40,77,117,1,0
161,0,23,18,41,1,0
362,0,7,19,26,3,0
196,0,5,8,13,3,0
105,0,110,203,313,3,0
319,0,14,31,45,3,0
395,0,15,65,80,1,0
203,0,23,85,108,1,0
273,0,24,74,98,2,0
140,0,43,90,133,3,0
286,0,32,44,76,3,0
154,0,10,21,31,1,0
315,0,28,58,86,2,0
342,0,11,17,28,3,0
364,0,12,34,46,1,0
235,0,37,107,144,3,0
112,0,16,18,34,3,0
62,0,9,11,20,3,0
94,0,41,85,126,3,0
292,0,2,1,3,2,0
192,0,3,15,18,1,0
350,0,45,49,94,2,0
33,0,89,126,215,1,0
142,0,41,42,83,1,0
422,0,8,10,18,1,0
238,0,6,14,20,3,0
26,0,42,160,202,1,0
121,0,38,57,95,3,0
35,0,2,12,14,3,0
103,0,53,53,106,3,0
3451,90,102,169,271,1,100
3349,90,44,56,100,1,100
4188,90,133,221,354,3,100
3892,90,122,180,302,3,100
4063,90,100,230,330,3,100
3297,90,88,206,294,1,100
3369,90,39,43,82,1,100
3253,90,61,142,203,1,100
3471,90,41,90,131,2,100
