Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
270,0,2,11,13,2,0
43,0,7,48,55,2,0
206,0,27,73,100,1,0
265,0,24,47,71,3,0
204,0,2,13,15,1,0
10,0,32,38,70,2,0
334,0,13,22,35,2,0
345,0,30,77,107,3,0
267,0,22,92,114,3,0
15,0,8,12,20,3,0
436,0,35,80,115,3,0
57,0,22,30,52,1,0
426,0,58,78,136,3,0
332,0,47,51,98,3,0
231,0,54,126,180,1,0
164,0,12,17,29,3,0
483,0,11,36,47,3,0
265,0,9,25,34,2,0
91,0,25,90,115,3,0
73,0,0,2,2,2,0
139,0,32,142,174,3,0
227,0,19,36,55,2,0
71,0,40,60,100,1,0
28,0,10,6,16,3,0
119,0,13,6,19,1,0
83,0,18,29,47,1,0
94,0,41,85,126,3,0
92,0,12,8,20,1,0
319,0,14,31,45,3,0
213,0,4,18,22,1,0
82,0,0,3,3,3,0
464,0,19,52,71,3,0
251,0,8,30,38,2,0
191,0,13,31,44,3,0
287,0,6,42,48,2,0
359,0,23,41,64,3,0
1,0,4,13,17,1,0
117,0,14,20,34,1,0
259,0,2,4,6,1,0
224,0,7,8,15,2,0
300,0,7,3,10,2,0
165,0,26,45,71,2,0
159,0,15,21,36,1,0
24,0,28,85,113,3,0
363,0,44,48,92,3,0
99,0,36,47,83,2,0
249,0,35,93,128,3,0
118,0,26,78,104,3,0
233,0,22,63,85,3,0
153,0,2,6,8,1,0
347,0,7,20,27,2,0
54,0,12,16,28,2,0
58,0,42,84,126,1,0
99,0,25,25,50,1,0
130,0,55,101,156,3,0
292,0,20,34,54,3,0
368,0,31,80,111,3,0
326,0,19,61,80,2,0
210,0,4,9,13,3,0
215,0,4,13,17,1,0
34,0,9,34,43,1,0
379,0,4,9,13,1,0
171,0,19,31,50,2,0
158,0,9,13,22,1,0
361,0,1,2,3,3,0
51,0,40,77,117,1,0
294,0,1,16,17,2,0
353,0,21,40,61,3,0
296,0,8,22,30,1,0
311,0,60,115,175,1,0
120,0,9,35,44,1,0
381,0,10,16,26,1,0
302,0,45,83,128,1,0
200,0,6,120,126,2,0
408,0,0,0,0,1,0
239,0,10,19,29,2,0
221,0,14,30,44,3,0
