Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
194,0,69,105,174,1,0
171,0,80,188,268,1,0
81,0,5,32,37,1,0
72,0,58,70,128,1,0
186,0,19,44,63,1,0
202,0,9,52,61,1,0
397,0,29,84,113,1,0
410,0,65,138,203,1,0
369,0,11,20,31,1,0
143,0,2,2,4,1,0
164,0,7,13,20,1,0
233,0,4,8,12,1,0
106,0,2,5,7,1,0
260,0,8,16,24,1,0
278,0,27,34,61,1,0
50,0,10,8,18,1,0
400,0,43,111,154,1,0
49,0,13,3,16,1,0
205,0,9,12,21,1,0
123,0,56,40,96,1,0
408,0,0,0,0,1,0
112,0,17,26,43,1,0
232,0,19,60,79,1,0
73,0,56,43,99,1,0
36,0,24,41,65,1,0
282,0,28,58,86,1,0
2,0,77,100,177,1,0
29,0,8,24,32,1,0
395,0,15,65,80,1,0
331,0,7,12,19,1,0
146,0,27,37,64,1,0
349,0,24,55,79,1,0
214,0,32,58,90,1,0
270,0,13,18,31,1,0
29,0,8,24,32,1,0
201,0,9,15,24,1,0
338,0,11,15,26,1,0
236,0,9,30,39,1,0
68,0,115,109,224,1,0
320,0,46,62,108,1,0
51,0,40,77,117,1,0
80,0,22,44,66,1,0
449,10,19,19,38,1,100
31,0,44,47,91,1,0
281,0,5,15,20,1,0
471,10,54,81,135,1,100
295,0,5,20,25,1,0
326,0,4,12,16,1,0
266,0,24,42,66,1,0
161,0,23,18,41,1,0
331,0,7,12,19,1,0
236,0,9,30,39,1,0
121,0,9,8,17,1,0
328,0,19,29,48,1,0
299,0,69,74,143,1,0
465,10,9,4,13,1,100
326,0,4,12,16,1,0
89,0,19,42,61,1,0
190,0,4,20,24,1,0
351,0,3,4,7,1,0
144,0,14,27,41,1,0
371,0,6,8,14,1,0
106,0,2,5,7,1,0
431,10,25,62,87,1,100
332,0,4,2,6,1,0
167,0,10,14,24,1,0
200,0,24,50,74,1,0
170,0,66,129,195,1,0
103,0,28,47,75,1,0
335,0,8,46,54,1,0
178,0,18,36,54,1,0
192,0,3,15,18,1,0
80,0,22,44,66,1,0
28,0,14,35,49,1,0
3,0,7,63,70,1,0
107,0,13,37,50,1,0
