Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
11,0,86,131,217,1,0
157,0,27,22,49,1,0
107,0,52,101,153,2,0
354,0,14,44,58,1,0
307,0,12,15,27,1,0
8,0,9,98,107,2,0
129,0,39,66,105,3,0
345,0,5,18,23,2,0
241,0,16,52,68,1,0
199,0,2,5,7,1,0
378,0,19,37,56,3,0
247,0,3,25,28,2,0
151,0,7,23,30,2,0
161,0,23,18,41,1,0
158,0,46,65,111,2,0
403,0,24,52,76,1,0
333,0,21,49,70,1,0
381,0,7,7,14,3,0
101,0,23,35,58,1,0
112,0,31,33,64,2,0
16,0,37,66,103,1,0
208,0,2,14,16,2,0
362,0,7,19,26,3,0
83,0,11,27,38,2,0
353,0,10,24,34,1,0
432,0,43,55,98,3,0
270,0,6,7,13,3,0
344,0,13,11,24,3,0
153,0,2,6,8,1,0
340,0,9,17,26,1,0
174,0,26,52,78,1,0
254,0,12,36,48,1,0
332,0,47,51,98,3,0
193,0,33,110,143,2,0
164,0,12,17,29,3,0
293,0,5,15,20,2,0
29,0,33,24,57,3,0
96,0,15,32,47,3,0
216,0,10,36,46,3,0
209,0,6,13,19,2,0
249,0,35,93,128,3,0
94,0,11,11,22,2,0
361,0,1,2,3,3,0
337,0,19,40,59,1,0
39,0,7,27,34,3,0
141,0,46,88,134,2,0
342,0,4,15,19,2,0
437,0,27,57,84,3,0
225,0,4,4,8,2,0
182,0,17,20,37,1,0
305,0,37,105,142,1,0
273,0,24,74,98,2,0
295,0,10,31,41,2,0
240,0,0,4,4,2,0
109,0,48,140,188,3,0
171,0,19,31,50,2,0
246,0,11,17,28,1,0
204,0,5,12,17,3,0
331,0,42,85,127,3,0
5,0,29,101,130,1,0
254,0,6,8,14,3,0
110,0,8,43,51,3,0
146,0,27,37,64,1,0
297,0,19,18,37,1,0
380,0,2,20,22,3,0
399,0,18,34,52,3,0
48,0,23,40,63,3,0
380,0,13,47,60,1,0
343,0,12,18,30,3,0
453,0,9,19,28,3,0
304,0,31,65,96,1,0
246,0,8,35,43,3,0
156,0,27,39,66,2,0
367,0,7,15,22,1,0
88,0,30,39,69,2,0
297,0,2,5,7,3,0
311,0,60,115,175,1,0
354,0,41,71,112,3,0
412,0,10,6,16,3,0
406,0,9,35,44,1,0
263,0,9,19,28,3,0
149,0,22,24,46,1,0
280,0,11,36,47,2,0
338,0,11,15,26,1,0
29,0,8,24,32,1,0
470,0,28,71,99,3,0
386,0,55,195,250,1,0
200,0,6,120,126,2,0
42,0,13,14,27,2,0
347,0,7,20,27,2,0
410,0,65,138,203,1,0
274,0,23,15,38,3,0
271,0,21,49,70,3,0
332,0,39,112,151,2,0
112,0,17,26,43,1,0
207,0,46,74,120,3,0
235,0,37,107,144,3,0
303,0,85,148,233,3,0
84,0,2,15,17,3,0
249,0,20,45,65,1,0
3977,90,75,160,235,3,100
4324,90,75,162,237,3,100
3412,90,70,71,141,2,100
3934,90,50,114,164,3,100
3411,90,25,41,66,1,100
4001,90,11,43,54,3,100
4035,90,66,96,162,3,100
3229,90,151,258,409,2,100
3444,90,93,292,385,2,100
3404,90,40,42,82,1,100
4203,90,68,103,171,3,100
3390,90,95,207,302,1,100
3292,90,97,135,232,1,100
3579,90,66,168,234,1,100
4330,90,8,50,58,3,100
4092,90,63,126,189,3,100
3471,90,97,154,251,1,100
3985,90,76,94,170,3,100
4196,90,115,156,271,3,100
3316,90,24,72,96,1,100
3360,90,73,167,240,1,100
4109,90,147,174,321,3,100
3249,90,105,271,376,2,100
4144,90,81,126,207,3,100
3600,90,103,182,285,1,100
3242,90,111,96,207,2,100
3243,90,144,154,298,2,100
3309,90,38,36,74,2,100
3545,90,38,117,155,1,100
3267,90,105,240,345,2,100
3283,90,37,125,162,2,100
3403,90,171,243,414,2,100
4302,90,45,129,174,3,100
3884,90,51,110,161,3,100
4184,90,33,26,59,3,100
3987,90,275,460,735,3,100
3417,90,26,60,86,2,100
3470,90,97,224,321,1,100
3636,90,73,107,180,1,100
3574,90,91,144,235,1,100
4239,90,152,304,456,3,100
3464,90,129,266,395,2,100
3893,90,28,63,91,3,100
3459,90,67,66,133,2,100
3507,90,76,83,159,1,100
3222,90,101,203,304,2,100
3381,90,30,53,83,1,100
3122,90,143,232,375,2,100
3325,90,125,282,407,2,100
3597,90,24,32,56,1,100
3481,90,46,116,162,1,100
3956,90,107,111,218,3,100
3278,90,161,222,383,2,100
3293,90,103,164,267,1,100
4142,90,15,59,74,3,100
4221,90,48,62,110,3,100
3426,90,91,142,233,2,100
4248,90,61,67,128,3,100
4337,90,149,261,410,3,100
3894,90,12,24,36,3,100
3979,90,64,105,169,3,100
3380,90,75,149,224,2,100
3150,90,56,110,166,2,100
3590,90,110,176,286,1,100
3216,90,39,66,105,2,100
3131,90,166,226,392,2,100
3211,90,120,278,398,2,100
4215,90,15,50,65,3,100
3213,90,170,340,510,2,100
3260,90,89,126,215,2,100
3147,90,122,349,471,2,100
4251,90,88,86,174,3,100
3518,90,21,67,88,1,100
4038,90,104,113,217,3,100
3558,90,106,168,274,1,100
3460,90,101,90,191,2,100
3253,90,84,182,266,2,100
3265,90,65,178,243,2,100
4077,90,60,55,115,3,100
4174,90,138,178,316,3,100
3442,90,111,93,204,1,100
3339,90,328,260,588,1,100
3366,90,27,63,90,2,100
3245,90,129,218,347,2,100
3595,90,47,74,121,1,100
3383,90,192,296,488,2,100
3198,90,32,51,83,2,100
4240,90,163,248,411,3,100
3508,90,33,57,90,1,100
4314,90,72,174,246,3,100
4180,90,86,104,190,3,100
3256,90,33,97,130,1,100
3919,90,170,257,427,3,100
3457,90,44,77,121,2,100
3472,90,41,65,106,2,100
4125,90,27,104,131,3,100
3281,90,63,76,139,1,100
3516,90,106,216,322,1,100
4046,90,102,128,230,3,100
3910,90,71,144,215,3,100
4832,180,59,54,113,1,100
4342,180,41,63,104,2,100
4586,180,24,29,53,2,100
4353,180,126,139,265,2,100
4889,180,72,107,179,1,100
4772,180,19,73,92,1,100
4670,180,52,82,134,1,100
4603,180,69,118,187,1,100
4376,180,106,226,332,2,100
5734,180,68,128,196,3,100
4580,180,146,184,330,2,100
4477,180,42,89,131,2,100
5656,180,62,103,165,3,100
4576,180,69,98,167,1,100
4902,180,68,97,165,1,100
5697,180,42,151,193,3,100
5553,180,42,73,115,3,100
5606,180,43,66,109,3,100
4630,180,82,180,262,1,100
5700,180,64,126,190,3,100
4276,180,72,93,165,2,100
4421,180,69,74,143,2,100
4328,180,99,156,255,2,100
5501,180,166,257,423,3,100
5505,180,154,152,306,3,100
5342,180,72,100,172,3,100
5430,180,68,123,191,3,100
4474,180,30,33,63,2,100
4476,180,25,21,46,2,100
4266,180,49,63,112,2,100
5517,180,104,182,286,3,100
4642,180,33,46,79,2,100
4637,180,87,134,221,2,100
4616,180,68,145,213,1,100
4956,180,40,41,81,1,100
5506,180,38,72,110,3,100
4494,180,44,69,113,2,100
4954,180,21,49,70,1,100
5398,180,65,72,137,3,100
4766,180,34,45,79,1,100
5538,180,23,31,54,3,100
4485,180,72,88,160,2,100
4640,180,19,102,121,1,100
4785,180,158,240,398,1,100
4667,180,76,267,343,1,100
4405,180,29,53,82,2,100
5535,180,16,34,50,3,100
5410,180,74,43,117,3,100
4344,180,32,46,78,2,100
5675,180,81,73,154,3,100
4856,180,61,99,160,1,100
4935,180,47,131,178,1,100
4635,180,66,203,269,1,100
4322,180,167,326,493,2,100
5416,180,23,42,65,3,100
5361,180,109,119,228,3,100
4584,180,70,156,226,1,100
5328,180,90,133,223,3,100
5393,180,20,38,58,3,100
4471,180,54,64,118,2,100
5500,180,82,165,247,3,100
5709,180,58,186,244,3,100
4566,180,143,163,306,2,100
4258,180,25,36,61,2,100
4535,180,57,79,136,2,100
4779,180,84,127,211,1,100
4988,180,47,62,109,1,100
5644,180,35,153,188,3,100
5690,180,99,145,244,3,100
4265,180,47,90,137,2,100
4986,180,76,67,143,1,100
5687,180,92,130,222,3,100
4821,180,112,192,304,1,100
4748,180,30,69,99,1,100
5388,180,107,196,303,3,100
4397,180,50,111,161,2,100
5529,180,135,235,370,3,100
5512,180,94,220,314,3,100
4312,180,40,73,113,2,100
4619,180,28,44,72,1,100
4754,180,16,36,52,1,100
5645,180,116,154,270,3,100
5714,180,61,98,159,3,100
4625,180,78,110,188,1,100
4321,180,62,104,166,2,100
5593,180,40,83,123,3,100
5425,180,36,103,139,3,100
5431,180,41,175,216,3,100
5352,180,129,252,381,3,100
4402,180,86,135,221,2,100
4949,180,87,40,127,1,100
4636,180,100,191,291,1,100
4479,180,66,117,183,2,100
4721,180,8,26,34,1,100
4589,180,73,126,199,2,100
4469,180,67,94,161,2,100
4464,180,43,103,146,2,100
4850,180,93,82,175,1,100
4736,180,27,67,94,1,100
4888,180,75,113,188,1,100
