Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
148,0,20,33,53,1,0
30,0,2,1,3,2,0
292,0,20,34,54,3,0
420,0,10,17,27,1,0
472,0,15,27,42,3,0
269,0,46,93,139,3,0
7,0,22,18,40,2,0
198,0,7,9,16,3,0
95,0,17,52,69,2,0
111,0,37,90,127,3,0
362,0,16,30,46,1,0
160,0,14,65,79,3,0
277,0,21,84,105,1,0
245,0,15,18,33,3,0
423,0,5,22,27,3,0
80,0,22,44,66,1,0
319,0,14,31,45,3,0
317,0,4,8,12,3,0
118,0,35,53,88,2,0
142,0,52,118,170,3,0
199,0,18,37,55,2,0
230,0,15,24,39,2,0
123,0,24,74,98,3,0
401,0,26,82,108,1,0
352,0,27,62,89,2,0
406,0,9,35,44,1,0
254,0,23,36,59,2,0
346,0,23,8,31,3,0
308,0,1,4,5,2,0
197,0,9,23,32,3,0
136,0,2,3,5,2,0
393,0,4,3,7,1,0
392,0,23,39,62,3,0
334,0,16,36,52,1,0
161,0,23,18,41,1,0
283,0,32,71,103,3,0
26,0,42,160,202,1,0
268,0,8,19,27,2,0
60,0,55,63,118,2,0
247,0,3,25,28,2,0
332,0,47,51,98,3,0
57,0,3,4,7,2,0
232,0,19,60,79,1,0
74,0,64,115,179,3,0
265,0,9,25,34,2,0
298,0,50,108,158,3,0
86,0,47,56,103,3,0
249,0,20,45,65,1,0
279,0,2,9,11,2,0
89,0,13,44,57,3,0
296,0,1,2,3,2,0
210,0,10,20,30,2,0
161,0,9,4,13,3,0
282,0,3,7,10,2,0
242,0,8,16,24,2,0
356,0,6,10,16,2,0
153,0,18,38,56,2,0
325,0,5,32,37,2,0
367,0,7,15,22,1,0
259,0,7,5,12,2,0
77,0,15,35,50,3,0
90,0,26,56,82,1,0
355,0,17,70,87,3,0
193,0,19,38,57,1,0
183,0,20,24,44,1,0
126,0,31,38,69,1,0
359,0,23,41,64,3,0
395,0,15,65,80,1,0
128,0,27,39,66,1,0
192,0,53,89,142,2,0
120,0,17,41,58,2,0
363,0,19,30,49,1,0
84,0,19,13,32,1,0
238,0,30,66,96,1,0
124,0,32,38,70,2,0
151,0,18,91,109,3,0
219,0,3,26,29,3,0
301,0,14,92,106,1,0
223,0,3,12,15,2,0
42,0,27,45,72,3,0
6,0,37,152,189,3,0
179,0,3,2,5,3,0
287,0,12,32,44,3,0
421,0,15,10,25,1,0
62,0,7,14,21,1,0
293,0,6,20,26,1,0
24,0,28,85,113,3,0
194,0,22,41,63,3,0
304,0,31,65,96,1,0
231,0,42,66,108,3,0
