time,exp1_s1,exp1_s2,exp1_s3
1,1,0,36
2,1,0,17
3,1,0,15
4,1,0,29
5,0,1,37
6,1,0,23
7,0,1,69
8,0,1,35
9,0,1,25
10,1,0,22
11,0,1,19
12,1,0,38
13,0,1,23
14,1,0,6
15,1,0,22
16,0,1,38
17,1,0,13
18,1,0,12
19,1,0,28
20,1,0,28
