cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,unique_cell_id,CalcCytoArea,normGRcyt,normGRnuc
670,8847.0,4088.892272723296,2522.068575726654,120,1,A,447,16174.317599162921,15,12
679,8872.0,3328.642519367212,2286.318350650956,120,1,A,451,16235.872564265183,13,8
686,7667.0,3565.211277340736,2434.64256730318,120,1,A,456,13425.235234673835,14,9
690,9346.0,4275.160269620908,2627.278765394988,120,1,A,458,17428.95642519608,16,13
696,8452.0,4806.656182521601,2999.524439217559,120,1,A,462,15219.986831723927,20,16
702,8897.0,4121.160594716262,2658.3663351671257,120,1,A,464,16297.564944083966,16,12
703,9328.0,4057.9443695714817,2618.451427706724,120,1,A,465,17382.74712314084,16,12
705,8974.0,4985.28007153681,3297.382754986287,120,1,A,467,16488.440878072674,22,17
706,8439.0,4842.172786418668,2901.2400468553724,120,1,A,468,15189.161555477662,19,16
708,7766.0,3260.5757108566136,2401.086149306494,120,1,A,469,13644.113797154889,14,8
709,8434.0,4287.994663098126,2678.794005847278,120,1,A,470,15177.315573857917,16,13
710,8809.0,4321.5675863678825,2721.7363609215427,120,1,A,471,16081.017228872564,17,14
711,9248.0,5363.047473004817,2919.167562618536,120,1,A,472,17178.234312441826,19,19
714,8393.0,4913.248974532662,2700.275638035394,120,1,A,473,15080.385855900311,17,17
717,7885.0,4409.053772474544,2418.603971717941,120,1,A,476,13910.062101107065,14,14
718,9323.0,4939.533576686365,2956.123468300739,120,1,A,477,17369.9238480572,19,17
719,9041.0,4432.794316514392,2542.188257257807,120,1,A,478,16655.588351473183,15,14
723,9503.0,6922.603471536581,3020.45423463131,120,1,A,480,17835.02460192477,20,27
724,9483.0,4302.355391535202,2809.864993721658,120,1,A,481,17782.994958709634,18,13
726,8296.0,3851.9183308934976,2612.19555921806,120,1,A,482,14852.535874765674,16,11
728,7813.0,3866.902001416137,2493.269241707232,120,1,A,484,13748.780193796945,15,11
730,8980.0,4247.553851397592,2547.754880293943,120,1,A,486,16503.36907349745,15,13
733,8228.0,3397.854802105272,2574.975768500978,120,1,A,488,14694.03942557916,15,9
734,8103.0,3984.957944431296,2734.487244091325,120,1,A,489,14405.337762721052,17,12
738,8718.0,4775.080596980702,2737.646852897705,120,1,A,492,15858.87788384198,17,16
753,9408.0,4431.643712799775,2853.3489026695825,120,1,A,500,17588.667060537045,18,14
756,7574.0,3750.7513661560592,2545.765818229911,120,1,A,503,13221.584981358441,15,10
757,7703.0,4248.447255412917,2705.48167159631,120,1,A,504,13504.578113950742,17,13
761,7889.0,3820.162392636214,2273.574431871496,120,1,A,506,13919.055626327794,13,11
763,8604.0,4572.935207065852,2984.489765825614,120,1,A,508,15583.162535167934,19,15
767,7882.0,4150.329510314236,2870.2603269887627,120,1,A,510,13903.319265758751,18,13
770,8941.0,3849.3839763206247,2673.439292234315,120,1,A,513,16406.477285428515,16,11
773,9305.0,4305.616805859068,2780.0816621270587,120,1,A,514,17323.80556951019,17,13
774,8671.0,4537.385754899452,2970.069750264714,120,1,A,515,15744.859591252329,19,15
778,8461.0,4074.3422988030447,2755.9206263316487,120,1,A,518,15241.34917407782,17,12
780,9090.0,4582.437571902358,3259.744834774547,120,1,A,520,16778.455385711328,22,15
781,8727.0,3553.5195258430185,2506.5370605786243,120,1,A,521,15880.766579526044,15,9
784,9457.0,4558.859190307294,2783.22399804066,120,1,A,522,17715.487900930726,17,15
786,9420.0,3869.5268608709057,2825.8691596746103,120,1,A,524,17619.67641582411,18,11
789,9297.0,4129.273281583004,2470.210982439551,120,1,A,527,17303.331422631458,14,12
794,8490.0,3231.986614256566,2353.7033455855108,120,1,A,531,15310.304533143351,13,8
799,8364.0,3477.567541133312,2147.0848579454823,120,1,A,534,15012.048972990902,11,9
809,7986.0,4045.49000233142,2609.135243333487,120,1,A,538,14138.225614512738,16,12
810,9420.0,4114.300041198349,2680.608332376262,120,1,A,539,17619.67641582411,16,12
812,7940.0,4095.970075859148,2680.1774483965887,120,1,A,540,14034.031431515992,16,12
815,8795.0,4970.887154460922,3067.3455569519697,120,1,A,543,16046.723438570176,20,17
816,8381.0,3724.193189094616,2426.917671144319,120,1,A,544,15052.08609895951,14,10
821,9236.0,4704.192275164247,2784.1217739733897,120,1,A,547,17147.678755514604,17,16
822,7734.0,4833.743832009815,2999.416705644728,120,1,A,548,13573.129477176608,20,16
823,8415.0,5534.340062086991,3525.3456525748625,120,1,A,549,15132.35097259148,25,20
828,8687.0,4317.945362562643,3080.55857004068,120,1,A,550,15783.619802995674,20,13
829,7668.0,3724.057645819731,2981.119059023058,120,1,A,551,13427.435355930576,19,10
830,7583.0,4552.256260491411,2714.718146277288,120,1,A,552,13241.20996196841,17,15
832,8579.0,3566.878988226468,2439.394086342703,120,1,A,554,15523.080655826783,14,9
836,9040.0,3451.7949725272206,2339.99355683247,120,1,A,556,16653.086357567186,13,9
843,9021.0,3840.318538151983,2421.994671611086,120,1,A,559,16605.5902474271,14,11
849,9146.0,4124.307911839868,2838.372055330086,120,1,A,561,16919.52125223858,18,12
851,7829.0,3987.944116120121,3279.407441099332,120,1,A,563,13784.522118774836,22,12
853,8437.0,4354.030541356447,2845.793835891639,120,1,A,564,15184.422503239124,18,14
854,8913.0,4146.676462135366,2374.594834438646,120,1,A,565,16337.12018241122,13,13
856,9304.0,4143.167912336048,2866.9185630595766,120,1,A,566,17321.245531627934,18,13
859,8897.0,4429.41093097844,2580.733315848568,120,1,A,568,16297.564944083966,15,14
865,8543.0,3201.89893449047,2289.096293584776,120,1,A,570,15436.804159749512,13,8
