cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
2019,9176,5561.530152,1855.526168,60,100,A,16657.67609,18,8
2020,9448,4453.253394,1783.446423,60,100,A,17356.22747,12,7
2021,8842,5413.387215,1791.95703,60,100,A,15828.53078,17,7
2022,8747,5019.907021,1732.378667,60,100,A,15598.46176,15,6
2023,8474,5555.346857,1776.469351,60,100,A,14951.529,18,7
2024,9031,5673.969829,1832.741009,60,100,A,16293.84074,19,8
2025,7075,4280.716106,1721.46877,60,100,A,11967.21798,11,6
2026,8987,4862.939296,1719.955962,60,100,A,16184.61201,14,6
2027,8962,5740.902781,1837.589889,60,100,A,16122.79428,19,8
2028,9510,5397.112408,1741.340056,60,100,A,17518.38571,17,7
2029,8187,4834.092199,1728.89071,60,100,A,14294.15771,14,6
2030,8959,5021.983565,1818.554974,60,100,A,16115.38803,15,7
2031,8035,4430.445568,1689.636138,60,100,A,13955.44309,12,6
2032,8425,4663.457908,1741.565017,60,100,A,14837.64502,13,7
2033,8762,4359.609357,1678.678779,60,100,A,15634.61868,11,6
2034,7057,6046.364792,1821.078466,60,100,A,11932.42925,20,7
2035,9051,5719.777474,1823.864153,60,100,A,16343.67124,19,7
2036,7918,4727.018212,1698.379575,60,100,A,13699.17454,13,6
2037,8262,4838.889024,1703.680568,60,100,A,14463.69521,14,6
2038,7329,5598.858335,1823.975388,60,100,A,12467.89972,18,7
2039,7212,4851.656833,1735.269979,60,100,A,12235.00307,14,7
2040,7859,4541.597878,1690.065964,60,100,A,13571.41416,12,6
2041,8711,4918.204083,1700.480961,60,100,A,15511.9449,14,6
2042,7978,4954.413166,1711.191905,60,100,A,13830.11047,15,6
2043,8861,6435.812,1795.858693,60,100,A,15874.85101,20,7
2044,9105,4586.763519,1750.90608,60,100,A,16478.77893,12,7
2045,8754,4347.305174,1656.90369,60,100,A,15615.32707,11,6
2046,8113,5182.548396,1755.405971,60,100,A,14128.44059,16,7
2047,7639,5014.436518,1785.86133,60,100,A,13103.70311,15,7
2048,8277,4152.729143,1672.086868,60,100,A,14497.7937,10,6
2049,8872,5821.312799,1812.320251,60,100,A,15901.71468,20,7
2050,7374,5970.37562,1788.529812,60,100,A,12558.5067,20,7
2051,8936,7698.540391,1904.437954,60,100,A,16058.69143,20,8
2052,7989,5907.871963,1841.329075,60,100,A,13854.22588,20,8
2053,8294,4690.687682,1780.728493,60,100,A,14536.51562,13,7
2054,8510,5726.531078,1731.806611,60,100,A,15035.63176,19,6
2055,8215,6248.622436,1812.076812,60,100,A,14357.26553,20,7
2056,8819,4610.749194,1710.085683,60,100,A,15772.59558,13,6
2057,8962,4782.5861,1728.381533,60,100,A,16122.79428,14,6
2058,7081,4485.657283,1713.5908,60,100,A,11978.8346,12,6
2059,7159,6820.534998,1845.785098,60,100,A,12130.77754,20,8
2060,8846,5203.268872,1728.824525,60,100,A,15838.27392,16,6
2061,8065,4556.418895,1699.074397,60,100,A,14021.77687,12,6
2062,9425,4780.074654,3644.859387,60,1,A,17296.34857,14,20
2063,7220,3768.283015,3267.500888,60,1,A,12250.80426,8,20
2064,8388,4284.327598,2946.205207,60,1,A,14752.10116,11,19
2065,7742,4296.647501,3042.844775,60,1,A,13320.97203,11,20
2066,7293,4634.982067,3608.710693,60,1,A,12395.82668,13,20
2067,7200,3419.399748,3330.118124,60,1,A,12211.33523,6,20
2068,9141,3484.768613,2811.098513,60,1,A,16569.3091,6,18
2069,9111,5333.023053,4102.011518,60,1,A,16493.84183,17,20
2070,9099,3673.554918,2939.963762,60,1,A,16463.72622,7,19
2071,7563,3373.633451,2911.732856,60,1,A,12945.31278,5,19
2072,7624,5106.529778,3099.742917,60,1,A,13072.31241,15,20
2073,8123,4317.859866,3479.595458,60,1,A,14150.74425,11,20
2074,9000,4985.678278,3303.627053,60,1,A,16216.82712,15,20
2075,8241,4440.728099,3421.481634,60,1,A,14416.06428,12,20
2076,9425,3583.714705,3231.669448,60,1,A,17296.34857,7,20
2077,9335,3614.83482,2306.776601,60,1,A,17063.47862,7,12
2078,9416,5221.271401,3174.027591,60,1,A,17272.95844,16,20
2079,9210,3427.279778,2575.268774,60,1,A,16743.85022,6,15
2080,9012,4163.409145,3059.125524,60,1,A,16246.60659,10,20
2081,9079,4138.287592,3082.156529,60,1,A,16413.62409,10,20
2082,7236,4328.128983,4264.597453,60,1,A,12282.46097,11,20
2083,9157,4823.188641,3632.544817,60,1,A,16609.66243,14,20
2084,8679,4326.984829,4118.079923,60,1,A,15435.34887,11,20
2085,9388,5183.788203,3318.252178,60,1,A,17200.33572,16,20
2086,9084,4398.303716,3531.094374,60,1,A,16426.13901,11,20
2087,8563,3693.162593,2817.960181,60,1,A,15160.11706,7,18
2088,8007,3286.177286,3246.181831,60,1,A,13893.76131,5,20
2089,9095,4645.897835,3166.232046,60,1,A,16453.69674,13,20
2090,8223,3637.161343,2705.163553,60,1,A,14375.33708,7,16
2091,7086,4414.386673,4340.433918,60,1,A,11988.5229,11,20
2092,9058,4748.859899,3631.454976,60,1,A,16361.13866,13,20
2093,9023,3868.452939,3265.790058,60,1,A,16273.94022,8,20
2094,8866,3930.667657,2774.1726,60,1,A,15887.05753,9,17
2095,8212,4729.355263,3653.770038,60,1,A,14350.49337,13,20
2096,8057,4277.79839,3344.875279,60,1,A,14004.06296,11,20
2097,8478,3334.638164,3835.514069,60,1,A,14960.85564,5,20
2098,7320,3818.350239,3831.484537,60,1,A,12449.84709,8,20
2099,7406,4664.06727,2896.417785,60,1,A,12623.28692,13,18
