cell_number,time_index,RNA_nuc,RNA_cyto,RNA_total,Rep_num
4680,180,33,81,114,1
4681,180,19,33,52,1
4682,180,26,35,62,1
4683,180,11,31,42,1
4684,180,46,115,164,1
4685,180,70,161,236,1
4686,180,125,185,321,1
4687,180,68,109,183,1
4688,180,19,28,47,1
4689,180,43,71,114,1
4690,180,43,120,167,1
4691,180,82,157,240,1
4692,180,72,154,229,1
4693,180,28,49,77,1
4694,180,54,132,187,1
4695,180,20,54,74,1
4696,180,14,38,52,1
4697,180,62,136,201,1
4698,180,101,190,297,1
4699,180,51,140,194,1
4700,180,22,57,81,1
4701,180,83,201,292,1
4702,180,104,246,353,1
4703,180,108,261,373,1
4704,180,121,330,460,1
4705,180,15,79,95,1
4706,180,60,121,181,1
4707,180,31,87,118,1
4708,180,15,25,40,1
4709,180,35,119,154,1
4710,180,47,98,145,1
4711,180,88,191,284,1
4712,180,36,389,432,1
4713,180,84,179,270,1
4714,180,63,162,227,1
4715,180,112,173,291,1
4716,180,33,132,168,1
4717,180,45,147,194,1
4718,180,59,105,164,1
4719,180,47,52,101,1
4720,180,23,94,119,1
4721,180,64,142,210,1
4722,180,5,22,27,1
4723,180,3,15,18,1
4724,180,70,83,158,1
4725,180,44,76,122,1
4726,180,131,177,321,1
4727,180,32,101,135,1
4728,180,40,81,122,1
