0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
8,0,2,0,1,1,0,65,39,8,1,14,3,3,5,36,NaN
1,0,1,0,21,0,17,1,2,29,0,3,8,8,11,7,NaN
1,1,0,2,1,1,21,79,21,6,31,1,0,3,38,11,NaN
3,0,0,1,0,32,40,60,6,22,64,3,4,16,2,8,NaN
1,0,1,1,0,8,38,72,56,29,6,20,1,2,0,0,NaN
0,0,0,0,1,13,26,15,66,1,14,1,6,0,0,5,NaN
0,1,0,0,1,16,20,50,27,5,22,33,23,0,2,0,NaN
3,0,4,0,1,32,33,20,12,0,0,2,0,1,0,5,NaN
0,0,0,0,5,36,7,46,26,30,2,1,8,15,1,46,NaN
3,0,0,9,0,46,12,44,57,64,18,0,5,2,2,4,NaN
0,0,1,0,0,31,38,4,22,34,1,9,20,0,2,3,NaN
0,1,0,0,1,33,4,0,17,17,2,5,3,12,19,16,NaN
0,1,0,0,11,24,0,1,17,21,20,6,0,1,1,5,NaN
0,1,0,2,2,12,11,0,14,0,9,0,0,2,0,15,NaN
0,1,0,0,0,63,7,56,40,2,6,2,6,0,0,0,NaN
0,0,0,0,1,15,42,42,60,9,21,10,3,12,6,1,NaN
0,0,1,0,1,19,59,36,0,1,8,1,2,3,0,0,NaN
0,1,0,0,2,29,33,45,68,20,0,0,0,3,1,0,NaN
0,0,0,0,16,34,32,19,6,21,18,1,0,0,2,0,NaN
0,1,2,4,1,1,39,61,1,37,0,4,3,2,4,22,NaN
1,0,3,0,9,1,12,20,0,43,3,59,2,0,2,10,NaN
0,0,2,1,3,0,11,83,42,32,13,4,1,28,2,0,NaN
0,0,0,0,28,26,0,5,16,1,7,0,1,0,0,3,NaN
0,0,0,0,0,14,29,1,72,3,2,7,1,0,10,2,NaN
0,0,0,0,1,45,32,34,8,0,2,4,3,0,0,0,NaN
0,2,0,0,0,12,17,74,4,12,0,16,8,0,1,2,NaN
0,1,0,1,0,28,7,5,4,12,3,18,2,2,0,0,NaN
1,0,0,0,0,14,0,53,3,1,11,0,4,28,0,1,NaN
1,0,0,1,0,37,0,13,3,19,0,9,10,1,2,12,NaN
0,0,0,0,0,0,20,39,19,2,5,9,3,1,2,4,NaN
0,0,0,0,4,18,0,10,59,5,14,28,2,1,0,6,NaN
0,0,0,0,20,20,9,6,23,63,2,0,4,0,52,2,NaN
0,1,2,1,27,75,43,4,1,83,14,0,1,9,2,49,NaN
0,0,2,0,4,25,0,6,55,0,3,2,1,3,0,18,NaN
0,0,0,0,13,2,8,12,44,2,0,1,2,0,3,6,NaN
0,0,0,0,13,0,22,159,40,10,38,0,0,0,1,0,NaN
0,0,2,3,9,1,2,27,2,0,27,0,2,4,21,8,NaN
0,0,1,0,1,8,16,18,41,1,26,0,4,6,4,10,NaN
1,1,0,0,0,0,23,0,14,10,20,17,0,2,0,0,NaN
0,1,0,0,0,3,20,95,11,15,14,4,5,2,5,15,NaN
0,0,0,0,20,36,7,23,26,0,0,0,0,13,0,19,NaN
