0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,3,25,1,0,0,0,0,0,0,0,0,0,NaN
0,0,0,1,32,19,36,0,10,7,0,0,0,0,0,0,NaN
0,0,0,0,0,36,0,103,6,1,0,0,0,0,0,0,NaN
0,0,0,1,1,1,93,0,5,4,0,0,0,0,0,0,NaN
0,0,0,1,0,14,23,70,2,7,0,0,0,0,0,0,NaN
0,0,0,0,1,0,37,10,0,0,0,0,0,0,0,0,NaN
0,0,0,5,0,17,0,73,3,19,0,2,0,0,0,1,NaN
0,0,0,0,0,1,91,9,7,27,0,0,0,0,0,0,NaN
0,0,0,1,0,1,0,11,6,3,0,0,0,0,0,0,NaN
0,0,0,0,0,35,0,24,6,6,0,0,0,0,0,0,NaN
0,0,0,0,0,0,55,7,3,0,0,0,0,0,0,0,NaN
0,0,0,0,0,11,48,0,0,28,0,0,0,0,0,0,NaN
0,0,0,0,0,1,73,0,3,14,0,0,0,0,0,0,NaN
0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,91,11,6,10,0,0,0,0,0,0,NaN
0,0,0,0,0,0,13,20,1,1,0,0,0,0,0,0,NaN
1,0,0,0,0,0,86,20,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,22,11,17,17,0,0,0,0,0,0,0,NaN
0,0,0,1,0,8,3,21,1,0,0,0,0,0,0,0,NaN
0,0,0,0,1,0,31,26,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,61,17,1,1,2,0,0,0,0,0,NaN
0,0,0,0,2,0,2,85,13,1,0,0,0,0,0,0,NaN
0,0,0,0,1,31,24,34,2,0,0,0,0,0,0,0,NaN
0,0,0,0,0,43,0,0,19,0,1,0,0,0,0,0,NaN
0,0,0,0,4,1,0,0,8,0,0,0,1,0,0,0,NaN
0,0,0,0,0,4,1,44,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,NaN
0,0,0,0,0,12,0,16,42,0,1,0,0,0,0,0,NaN
0,0,0,0,0,21,6,12,2,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,2,56,0,0,0,0,0,0,0,0,NaN
0,0,0,0,2,3,40,10,34,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,7,11,2,3,0,0,0,0,0,0,NaN
0,0,0,0,1,40,76,36,4,0,0,0,0,0,0,0,NaN
0,0,0,0,1,37,18,0,15,0,0,0,0,0,0,0,NaN
0,0,0,0,2,22,46,0,0,0,0,0,0,0,0,0,NaN
0,0,0,0,2,0,0,0,26,3,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,22,35,19,0,0,0,0,0,0,0,NaN
0,0,0,0,0,1,71,0,12,1,0,0,0,0,0,0,NaN
0,0,0,0,0,0,7,74,0,0,1,0,0,0,0,0,NaN
0,0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,26,26,4,6,0,0,0,0,0,0,NaN
0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,NaN
0,0,0,1,1,18,0,0,25,0,0,0,0,0,0,0,NaN
0,0,4,0,0,0,13,27,9,0,1,0,0,0,0,0,NaN
0,0,0,0,9,37,18,75,0,3,0,0,0,0,0,0,NaN
0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,NaN
0,0,0,1,12,1,40,13,44,0,0,0,0,0,0,0,NaN
0,0,0,0,1,1,0,34,33,2,0,0,0,0,0,0,NaN
0,0,0,0,0,58,0,24,51,0,0,0,0,0,0,0,NaN
0,0,0,0,0,69,59,14,6,4,0,0,0,0,0,0,NaN
0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,NaN
0,0,0,0,4,0,23,0,1,5,0,0,0,0,0,0,NaN
0,0,16,0,17,0,0,123,2,0,0,0,0,0,0,0,NaN
0,0,0,0,1,3,1,48,1,0,1,0,0,0,0,0,NaN
0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,16,40,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,NaN
0,0,0,0,0,0,27,6,5,0,0,0,0,0,0,0,NaN
0,0,0,0,6,80,4,10,2,0,0,0,0,0,0,0,NaN
0,0,0,1,14,18,68,18,3,7,0,0,0,0,0,0,NaN
0,0,0,0,1,34,1,0,2,0,3,0,0,0,0,0,NaN
0,0,0,0,0,1,28,53,43,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,1,11,14,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,57,19,13,0,1,0,0,0,0,0,NaN
0,0,0,0,5,7,0,47,10,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,92,12,6,1,0,0,0,0,0,0,NaN
0,0,0,1,1,0,4,16,23,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,20,0,16,0,0,0,0,0,0,0,NaN
0,0,0,0,0,19,0,1,0,1,0,0,0,0,0,0,NaN
0,0,0,1,0,0,0,80,11,2,0,0,0,0,0,0,NaN
0,0,0,0,11,30,0,45,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,4,60,21,15,1,0,0,0,0,0,0,NaN
0,0,0,0,1,0,0,21,5,0,0,1,0,0,0,0,NaN
0,0,0,0,5,0,17,0,12,1,0,0,0,0,0,0,NaN
1,0,0,0,0,24,0,18,0,0,0,0,0,0,0,0,NaN
0,0,0,0,0,2,23,23,2,0,0,0,0,0,0,0,NaN
0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,NaN
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,NaN
0,0,0,1,3,2,1,1,5,0,0,0,1,0,0,0,NaN
0,0,0,1,0,0,26,0,8,0,0,0,0,0,0,0,NaN
0,0,0,0,3,0,40,14,1,3,0,0,0,0,0,0,NaN
0,0,0,1,0,0,0,35,14,2,0,0,0,0,NaN,0,NaN
0,0,0,1,0,27,26,4,6,0,0,0,0,0,NaN,1,NaN
0,0,0,0,0,5,0,4,3,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,0,11,4,0,0,2,0,0,NaN,0,NaN
0,0,0,0,19,8,39,31,0,0,3,0,0,0,NaN,0,NaN
0,0,0,0,0,4,12,1,0,2,0,0,0,0,NaN,0,NaN
0,0,0,2,0,0,15,14,6,2,0,0,0,0,NaN,0,NaN
0,0,0,0,0,34,0,49,0,0,0,1,0,0,NaN,0,NaN
0,0,0,0,0,29,16,0,4,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,6,18,0,4,0,1,0,0,0,NaN,0,NaN
0,0,0,0,1,15,1,10,1,2,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,6,35,3,0,2,0,0,0,NaN,0,NaN
0,0,0,8,2,0,0,59,11,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,1,51,0,7,0,0,0,0,0,NaN,0,NaN
0,0,0,0,2,4,12,0,20,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,48,20,0,0,0,0,0,0,NaN,0,NaN
0,0,0,0,27,22,7,1,6,0,3,0,0,0,NaN,0,NaN
0,0,0,0,14,0,31,7,9,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,25,0,20,0,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,89,0,1,0,0,0,0,0,NaN,0,NaN
0,0,0,0,1,0,2,7,4,0,0,1,0,0,NaN,0,NaN
0,0,0,4,1,1,0,48,0,0,0,0,0,0,NaN,0,NaN
0,0,0,5,0,29,0,52,56,0,0,0,0,0,NaN,0,NaN
0,0,0,1,0,30,58,75,24,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,0,0,5,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,37,15,0,8,0,0,1,0,0,NaN,0,NaN
0,0,0,0,0,0,5,28,20,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,28,30,50,18,1,0,0,0,0,NaN,0,NaN
0,0,0,0,0,55,0,7,44,0,2,0,0,0,NaN,0,NaN
0,0,0,0,0,17,43,1,8,2,0,0,0,0,NaN,0,NaN
0,0,0,0,0,3,1,39,3,0,0,0,0,0,NaN,0,NaN
0,0,0,0,1,6,6,0,21,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,18,0,0,0,0,0,0,0,NaN,0,NaN
0,0,0,1,0,1,38,34,0,0,2,0,0,0,NaN,0,NaN
0,0,0,0,0,0,83,0,0,0,0,0,0,0,NaN,0,NaN
0,0,0,10,1,7,12,1,10,1,0,0,0,0,NaN,0,NaN
0,0,0,0,14,15,0,0,30,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,27,0,19,1,2,0,0,0,0,NaN,0,NaN
0,0,0,0,0,1,9,0,0,1,1,0,0,0,NaN,0,NaN
0,0,0,0,1,1,30,5,0,2,0,1,0,0,NaN,0,NaN
0,0,0,0,14,1,9,29,24,1,0,0,0,0,NaN,0,NaN
0,0,0,0,0,18,6,28,1,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,14,4,47,16,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,0,29,0,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,17,0,32,4,0,0,0,0,0,NaN,0,NaN
0,0,0,0,2,2,10,13,0,0,6,0,0,0,NaN,0,NaN
0,0,0,0,0,12,9,47,5,0,0,0,0,0,NaN,0,NaN
0,0,0,2,0,20,1,37,19,1,0,0,0,1,NaN,0,NaN
0,0,0,1,10,23,15,17,2,2,0,0,0,0,NaN,0,NaN
0,0,0,0,0,1,0,1,5,0,0,0,0,0,NaN,0,NaN
0,0,0,0,2,0,20,3,0,0,0,0,0,0,NaN,0,NaN
0,0,0,0,3,6,17,29,0,0,0,0,0,0,NaN,1,NaN
0,0,0,0,6,0,11,42,4,1,1,0,0,0,NaN,0,NaN
0,0,0,0,1,19,53,29,0,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,19,0,28,0,0,1,0,0,0,NaN,0,NaN
0,0,0,0,0,25,6,1,22,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,6,0,54,0,1,0,0,0,NaN,0,NaN
0,0,0,0,0,1,1,6,1,0,1,0,0,0,NaN,0,NaN
0,0,0,0,0,19,16,0,4,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,7,7,27,13,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,12,20,27,0,0,3,0,0,0,NaN,0,NaN
0,0,0,0,17,7,14,44,15,1,0,0,0,0,NaN,0,NaN
0,0,0,0,1,52,64,61,22,1,0,1,0,0,NaN,0,NaN
0,0,0,0,0,0,36,0,7,0,0,0,0,0,NaN,0,NaN
0,0,0,0,0,23,19,50,1,10,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,35,3,0,NaN,0,0,0,0,NaN,0,NaN
0,0,0,0,0,2,4,32,2,NaN,0,0,0,0,NaN,0,NaN
0,0,0,0,31,0,70,9,0,NaN,0,0,0,0,NaN,0,NaN
0,0,0,0,0,0,55,47,0,NaN,0,0,0,0,NaN,0,NaN
0,0,0,0,0,12,21,15,0,NaN,0,0,0,0,NaN,0,NaN
