0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,2,1,1,18,32,2,65,NaN,0,82,29,34,66,12,3
0,1,0,0,0,1,0,54,43,NaN,129,39,74,28,66,15,1
1,0,0,0,1,2,40,43,55,NaN,123,32,24,4,64,62,4
3,0,1,0,14,5,32,65,59,NaN,22,95,0,12,36,1,1
0,0,0,0,4,10,38,39,84,NaN,37,81,74,36,3,51,4
9,1,0,0,0,0,10,20,134,NaN,95,154,11,16,94,0,2
0,3,0,0,1,0,7,57,128,NaN,88,47,0,42,80,2,25
0,1,14,0,3,0,27,25,75,NaN,103,29,51,50,102,41,4
0,0,0,2,0,0,32,31,43,NaN,57,20,17,38,84,0,23
0,0,0,0,12,19,7,70,144,NaN,19,82,41,20,69,6,22
0,0,0,0,0,7,18,109,70,NaN,91,86,19,50,53,0,23
2,0,0,1,21,0,27,3,91,NaN,0,37,90,53,82,6,17
1,1,0,0,13,1,16,48,57,NaN,103,99,4,8,61,17,0
0,0,0,0,0,1,0,2,73,NaN,129,85,120,7,11,20,13
1,0,0,0,0,8,0,68,32,NaN,93,113,28,7,3,9,36
1,0,0,0,1,1,0,62,93,NaN,37,58,151,7,43,23,64
1,0,0,0,0,0,0,11,65,NaN,71,104,19,19,11,4,7
7,2,1,0,23,12,2,50,45,NaN,88,72,19,17,6,51,3
1,6,0,0,1,6,7,27,43,NaN,56,117,17,65,19,20,13
0,0,0,0,2,0,0,1,16,NaN,16,28,91,22,16,1,3
0,1,0,1,0,3,26,42,77,NaN,87,108,44,19,91,74,19
0,0,2,0,6,0,26,26,54,NaN,6,75,0,23,1,59,36
3,0,1,0,6,11,16,42,46,NaN,20,12,19,13,45,0,7
1,0,0,1,6,18,21,73,83,NaN,95,111,2,7,91,42,4
0,0,1,0,1,21,6,11,210,NaN,40,28,85,16,29,1,5
1,3,0,1,7,2,21,32,54,NaN,105,36,50,4,19,56,10
2,0,0,0,0,0,24,30,68,NaN,118,122,73,9,88,3,3
0,0,0,0,2,15,0,6,169,NaN,54,43,45,18,4,2,74
0,0,0,0,5,0,17,57,73,NaN,135,26,12,29,25,1,19
0,1,0,0,0,8,47,29,73,NaN,199,44,14,15,19,14,29
1,0,0,0,5,2,1,23,75,NaN,94,37,27,37,58,5,3
0,0,1,0,1,0,20,24,143,NaN,38,88,94,10,44,0,1
0,6,0,0,2,6,0,50,45,NaN,66,37,76,NaN,7,21,53
0,0,0,4,2,0,1,18,103,NaN,72,39,22,NaN,20,1,20
0,0,0,0,0,1,35,64,45,NaN,32,69,7,NaN,78,0,4
0,0,0,0,0,1,21,33,30,NaN,62,88,88,NaN,1,27,66
1,0,0,0,0,3,33,40,100,NaN,97,56,37,NaN,37,1,5
1,2,1,NaN,0,25,0,0,1,NaN,107,80,72,NaN,1,0,3
0,3,0,NaN,0,14,8,21,57,NaN,144,18,102,NaN,115,1,19
0,0,0,NaN,3,0,34,39,43,NaN,76,133,68,NaN,73,14,17
0,2,0,NaN,0,5,5,48,35,NaN,54,70,68,NaN,10,4,5
1,0,0,NaN,0,26,0,33,21,NaN,41,43,11,NaN,4,0,4
0,0,0,NaN,0,9,0,37,64,NaN,25,47,35,NaN,8,32,23
0,1,0,NaN,0,0,65,93,98,NaN,8,53,56,NaN,83,56,26
0,0,0,NaN,0,15,21,60,107,NaN,84,20,129,NaN,63,0,0
1,0,0,NaN,7,5,17,44,58,NaN,54,114,43,NaN,6,4,28
1,0,0,NaN,1,18,21,35,50,NaN,76,7,35,NaN,14,35,4
