0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,0,34,3,46,77,12,56,65,169,16,3,17,0,NaN
2,NaN,9,0,1,10,31,4,137,130,106,53,7,0,31,31,NaN
0,NaN,0,2,1,2,0,32,119,36,88,38,48,188,43,24,NaN
0,NaN,4,0,7,10,29,25,171,2,117,19,64,0,3,10,NaN
2,NaN,0,0,3,5,19,10,25,73,65,41,11,1,3,2,NaN
0,NaN,0,0,3,0,0,15,108,0,86,14,23,2,0,4,NaN
0,NaN,1,0,3,4,1,32,59,58,53,106,37,21,14,0,NaN
0,NaN,1,1,7,0,21,95,104,16,274,86,18,85,1,7,NaN
0,NaN,0,0,1,36,43,14,113,150,34,24,29,21,13,1,NaN
1,NaN,0,0,1,1,42,19,161,37,107,128,4,74,0,12,NaN
0,NaN,0,0,0,2,55,29,56,102,76,22,52,57,0,21,NaN
0,NaN,0,0,0,9,9,1,39,28,56,31,13,129,1,43,NaN
0,NaN,1,0,1,30,50,17,24,80,31,111,38,8,70,0,NaN
0,NaN,1,0,0,3,9,0,47,24,103,47,8,62,0,16,NaN
2,NaN,0,0,1,11,0,91,48,62,109,211,196,53,97,5,NaN
0,NaN,0,1,1,16,4,10,168,105,108,11,2,124,14,5,NaN
0,NaN,0,0,1,0,38,21,42,47,138,57,10,9,5,32,NaN
0,NaN,0,0,1,2,31,4,81,42,8,64,17,0,22,8,NaN
0,NaN,1,0,3,1,79,21,83,44,73,16,8,58,0,4,NaN
0,NaN,0,0,0,2,48,10,65,125,116,10,0,31,9,8,NaN
0,NaN,0,1,1,16,38,15,89,49,82,54,24,14,2,5,NaN
0,NaN,1,0,0,24,4,4,46,18,47,46,5,30,26,1,NaN
0,NaN,2,0,0,18,93,11,20,141,88,66,26,24,22,0,NaN
0,NaN,0,0,0,12,4,0,102,192,44,60,34,41,0,0,NaN
0,NaN,0,0,13,9,1,63,132,100,114,71,126,13,2,57,NaN
0,NaN,0,0,2,20,0,21,163,16,118,62,6,3,1,1,NaN
0,NaN,0,0,1,15,64,18,112,47,156,3,116,26,6,5,NaN
0,NaN,0,1,0,24,12,0,30,60,154,4,10,7,0,3,NaN
0,NaN,0,0,2,0,2,14,83,98,25,83,15,26,20,45,NaN
0,NaN,1,0,4,4,50,29,8,95,99,46,0,12,31,0,NaN
0,NaN,0,0,0,10,51,24,37,52,167,0,1,171,6,10,NaN
0,NaN,0,0,0,16,19,13,77,0,39,102,6,9,80,0,NaN
0,NaN,1,0,26,8,27,17,168,73,71,102,0,1,4,4,NaN
0,NaN,0,0,0,16,30,11,181,4,8,40,11,32,0,4,NaN
1,NaN,1,0,10,8,36,76,113,48,105,93,44,53,1,35,NaN
0,NaN,0,0,2,1,47,54,60,16,213,6,104,33,1,0,NaN
0,NaN,2,0,4,1,59,7,72,26,3,25,86,58,7,3,NaN
0,NaN,1,0,0,1,1,13,56,32,31,8,69,12,4,1,NaN
5,NaN,0,0,1,24,24,25,95,55,54,19,20,6,0,1,NaN
0,NaN,2,0,4,10,19,104,120,10,164,108,6,1,13,17,NaN
0,NaN,0,0,4,21,13,43,144,94,47,147,99,66,0,3,NaN
0,NaN,0,1,0,2,37,22,69,218,180,39,38,17,0,1,NaN
0,NaN,1,0,20,29,1,21,85,131,53,60,5,82,30,0,NaN
0,NaN,1,0,0,1,15,34,99,112,38,8,62,1,6,53,NaN
0,NaN,1,0,0,1,19,28,105,103,185,144,20,56,0,27,NaN
0,NaN,0,0,0,51,60,116,38,120,75,7,84,46,10,23,NaN
0,NaN,0,0,0,0,66,6,119,47,48,41,72,4,17,6,NaN
0,NaN,0,0,0,12,49,10,17,110,42,147,35,71,23,32,NaN
0,NaN,0,1,2,4,94,49,64,67,57,65,65,63,14,3,NaN
0,NaN,0,0,8,78,22,9,122,66,63,30,62,42,30,5,NaN
1,NaN,0,0,0,25,18,41,68,96,30,35,39,127,1,2,NaN
0,NaN,0,0,14,0,17,74,110,67,30,121,68,20,23,1,NaN
0,NaN,0,1,11,4,2,36,49,118,62,79,21,48,2,3,NaN
0,NaN,0,0,1,17,44,17,83,48,93,34,18,0,7,0,NaN
0,NaN,0,0,1,11,15,34,83,55,115,28,6,6,5,0,NaN
0,NaN,1,0,0,1,25,13,39,110,190,7,42,0,1,0,NaN
0,NaN,1,0,0,39,22,61,0,71,52,2,20,0,6,1,NaN
0,NaN,0,0,0,3,26,26,25,54,17,36,111,179,3,1,NaN
0,NaN,0,0,2,1,41,48,123,57,58,48,12,22,0,2,NaN
0,NaN,0,0,2,32,20,51,13,61,63,117,5,28,7,38,NaN
1,NaN,0,0,0,8,6,27,48,72,72,12,22,92,40,60,NaN
0,NaN,0,0,0,21,33,27,19,99,61,79,19,9,38,23,NaN
0,NaN,0,2,0,36,17,115,170,148,77,13,48,59,0,2,NaN
1,NaN,2,0,0,4,33,25,21,181,47,57,47,4,0,54,NaN
0,NaN,0,0,0,34,1,63,51,111,17,0,87,6,31,42,NaN
0,NaN,0,0,25,6,64,6,68,96,67,89,26,10,27,2,NaN
0,NaN,0,0,1,20,17,16,94,81,16,0,53,2,44,1,NaN
0,NaN,0,0,0,16,6,121,25,144,190,12,63,6,8,2,NaN
0,NaN,0,0,12,6,0,64,35,54,145,28,53,68,1,19,NaN
1,NaN,0,0,2,8,0,68,112,139,13,17,41,21,1,12,NaN
1,NaN,0,0,1,17,16,2,47,155,56,106,1,6,0,2,NaN
0,NaN,0,0,3,0,24,81,71,4,109,14,68,0,8,1,NaN
0,NaN,1,0,0,5,47,80,81,2,1,36,104,8,0,4,NaN
0,NaN,0,0,11,26,1,25,54,13,93,28,86,2,5,1,NaN
0,NaN,0,0,0,9,60,31,35,76,135,0,82,5,0,0,NaN
0,NaN,0,0,0,0,17,127,51,48,39,109,6,8,47,2,NaN
1,NaN,1,0,0,4,50,24,40,3,88,94,99,10,68,23,NaN
1,NaN,0,0,0,10,7,28,185,0,57,55,25,21,15,69,NaN
0,NaN,0,0,12,31,41,62,53,67,74,105,23,0,0,5,NaN
1,NaN,0,0,0,18,45,6,73,134,39,40,112,37,89,2,NaN
