0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,51,0,2,9,83,114,63,0,168,96,33,50,NaN
0,0,6,0,1,4,4,100,62,171,90,3,49,57,6,1,NaN
1,1,1,0,0,6,42,105,82,94,35,31,14,4,69,1,NaN
0,0,0,0,10,0,8,70,77,15,94,71,1,68,80,39,NaN
0,1,0,0,20,13,104,76,60,123,74,26,2,10,49,25,NaN
1,2,0,0,1,3,8,36,121,179,43,104,4,3,1,2,NaN
0,0,1,0,1,28,78,75,120,72,108,90,67,50,25,6,NaN
0,0,0,2,0,6,16,78,80,106,96,35,66,3,30,1,NaN
3,0,0,0,3,1,110,11,39,72,87,22,25,3,94,0,NaN
0,0,0,0,0,34,52,70,119,124,69,42,6,1,29,0,NaN
0,0,0,0,2,22,0,91,127,81,104,71,72,51,1,4,NaN
1,1,0,0,0,30,13,64,15,173,86,62,62,3,10,0,NaN
0,0,0,0,0,13,26,130,38,100,54,2,73,30,7,0,NaN
1,1,0,0,28,0,23,141,69,85,2,64,0,32,34,1,NaN
0,1,0,0,4,0,13,56,94,51,35,64,0,2,39,60,NaN
1,0,1,2,17,1,0,61,58,84,29,102,9,10,40,1,NaN
0,0,0,0,0,0,1,80,35,94,30,168,18,54,16,29,NaN
0,0,1,1,0,32,49,105,42,154,98,231,15,18,0,0,NaN
1,0,0,0,0,14,2,26,60,170,80,18,1,13,19,5,NaN
1,0,0,0,6,9,12,110,80,31,83,154,22,35,36,9,NaN
0,0,0,1,0,3,49,21,22,1,59,17,0,1,20,15,NaN
1,1,0,0,0,2,55,119,30,45,13,9,16,55,63,18,NaN
0,1,1,0,5,1,37,9,43,18,29,86,68,14,16,35,NaN
1,0,0,0,22,0,28,16,27,117,84,47,41,23,1,1,NaN
0,1,0,0,1,1,33,74,80,75,68,19,45,0,22,34,NaN
1,0,1,0,0,30,52,40,45,159,64,37,46,20,2,2,NaN
0,0,0,0,12,6,39,62,115,31,93,44,1,71,0,0,NaN
0,0,1,1,0,13,35,78,98,148,11,41,70,63,34,48,NaN
0,0,0,1,0,12,117,132,42,146,76,6,107,27,2,13,NaN
0,0,1,2,1,6,77,14,26,54,70,170,12,0,22,63,NaN
2,0,1,2,0,0,104,144,46,82,17,68,71,55,63,1,NaN
1,0,0,0,0,15,37,134,8,112,57,83,23,59,42,2,NaN
0,0,0,0,3,12,42,22,25,65,43,59,66,48,2,22,NaN
4,0,0,0,15,27,32,75,97,0,85,4,78,4,58,2,NaN
5,1,0,0,1,23,66,58,46,72,66,10,18,55,3,71,NaN
0,1,0,0,0,12,29,23,6,172,24,36,1,49,13,0,NaN
0,0,0,1,1,33,68,134,28,111,145,72,41,53,1,26,NaN
1,2,1,7,18,3,24,50,112,120,20,79,77,17,0,8,NaN
0,1,0,0,5,2,10,0,85,22,29,77,22,15,7,9,NaN
0,2,0,0,0,15,39,83,58,42,73,21,1,1,3,0,NaN
0,0,1,0,7,33,23,42,124,175,41,46,34,10,7,4,NaN
1,0,0,0,0,18,32,92,62,2,17,60,12,0,2,7,NaN
0,1,0,0,0,42,54,56,38,84,60,38,2,114,3,5,NaN
0,2,0,0,5,22,65,44,41,72,47,36,63,3,0,1,NaN
0,0,0,0,2,0,77,28,38,57,48,150,43,9,2,6,NaN
1,1,0,0,0,2,34,182,64,197,38,46,85,17,1,1,NaN
0,0,0,0,11,40,109,65,103,161,42,73,0,1,21,15,NaN
0,0,0,3,0,3,14,29,43,30,86,89,74,1,4,1,NaN
0,0,0,0,1,1,29,230,39,0,11,34,17,24,0,10,NaN
0,0,1,2,12,0,87,19,39,93,27,1,22,4,73,16,NaN
0,1,2,5,19,12,36,8,30,91,20,90,67,96,49,13,NaN
2,0,0,1,0,1,11,105,67,101,63,5,52,43,3,16,NaN
0,0,0,0,0,17,0,33,136,63,4,84,52,0,11,52,NaN
1,1,1,1,5,0,45,54,51,134,138,19,24,96,0,5,NaN
0,1,2,1,1,42,1,54,12,214,80,28,72,30,1,0,NaN
2,0,0,1,1,1,6,88,25,53,51,39,39,11,7,5,NaN
0,1,1,1,0,34,66,78,29,42,21,40,97,0,32,2,NaN
0,0,0,1,2,6,13,33,127,169,54,19,27,9,53,6,NaN
0,0,0,0,13,14,61,43,123,82,18,25,16,15,14,13,NaN
0,0,0,0,11,29,0,78,34,57,34,32,1,13,3,4,NaN
0,0,2,0,0,0,68,87,33,128,74,77,80,1,0,2,NaN
0,0,0,0,0,7,17,63,52,27,22,12,44,1,1,40,NaN
0,0,0,1,2,17,2,109,71,129,85,76,63,105,4,8,NaN
0,0,1,1,2,10,49,37,80,80,79,155,28,11,76,44,NaN
2,0,1,0,0,26,21,72,173,53,45,22,98,4,16,6,NaN
2,2,0,1,1,16,16,0,16,56,72,33,4,43,13,1,NaN
0,0,0,0,0,0,8,11,23,64,20,60,22,2,54,12,NaN
1,1,0,0,2,1,94,40,71,49,105,61,40,3,5,2,NaN
0,0,0,1,2,14,4,133,104,1,79,13,4,27,2,4,NaN
1,0,0,0,3,25,2,162,54,36,34,115,19,4,18,11,NaN
0,0,0,1,7,26,24,68,46,62,86,110,52,4,6,0,NaN
0,0,2,2,17,0,5,51,40,152,57,72,83,49,29,15,NaN
1,0,0,0,1,0,0,127,56,143,99,56,1,78,1,3,NaN
2,0,1,0,4,5,11,63,71,142,124,47,17,79,32,1,NaN
0,0,0,0,10,20,31,132,110,57,18,47,114,33,55,34,NaN
0,0,1,0,8,26,94,164,29,121,69,43,60,58,2,0,NaN
0,0,0,0,0,19,34,95,33,82,110,7,8,72,5,7,NaN
0,0,14,0,2,17,0,83,142,39,79,36,7,19,1,0,NaN
0,0,0,0,0,2,49,33,64,122,65,183,5,27,0,4,NaN
1,0,0,0,3,19,6,43,61,118,54,56,2,26,6,1,NaN
1,0,0,0,1,1,49,12,52,94,34,0,11,20,0,7,NaN
0,0,0,0,7,11,38,96,108,67,53,46,65,6,6,45,NaN
0,0,0,0,0,32,24,34,89,88,4,102,14,18,3,20,NaN
1,0,0,0,0,7,1,27,106,66,105,90,47,10,66,47,NaN
1,0,1,1,1,10,2,96,45,30,9,85,85,27,0,0,NaN
0,1,0,0,1,5,0,91,28,0,81,61,70,20,53,1,NaN
0,4,2,0,5,13,61,100,20,77,67,56,51,8,0,8,NaN
0,2,0,1,1,37,25,66,60,144,63,36,141,54,84,3,NaN
0,0,0,0,8,11,2,60,19,189,78,124,3,102,62,0,NaN
1,0,0,0,28,27,22,39,17,139,30,132,0,71,43,8,NaN
0,1,0,6,1,0,36,39,55,58,24,29,130,0,0,2,NaN
0,0,2,0,0,0,6,88,116,25,64,0,41,61,13,0,NaN
0,0,1,6,1,1,8,71,39,53,37,20,71,63,0,5,NaN
2,0,1,0,11,4,20,0,63,22,3,5,40,100,0,3,NaN
0,0,1,0,0,10,63,82,4,71,100,44,51,17,3,17,NaN
0,0,1,0,0,27,4,63,46,41,37,96,69,18,14,58,NaN
0,0,1,0,3,1,18,42,76,141,19,138,92,124,25,5,NaN
1,0,0,0,1,8,20,75,69,131,45,0,12,10,6,20,NaN
0,2,1,0,10,37,47,25,88,0,58,73,12,33,0,3,NaN
2,0,1,1,6,24,41,120,58,67,37,47,16,25,33,5,NaN
1,0,0,0,10,22,32,0,87,91,108,34,33,3,3,34,NaN
0,0,0,0,9,1,56,139,6,54,104,98,0,57,5,0,NaN
0,0,0,0,13,1,41,64,70,75,24,22,84,29,14,4,NaN
0,0,0,0,4,45,12,66,58,54,46,125,25,4,81,1,NaN
0,0,0,0,13,22,39,100,35,179,74,62,117,0,124,0,NaN
0,0,1,0,2,23,56,59,89,15,23,75,63,25,19,2,NaN
1,1,1,0,13,50,29,18,85,91,13,54,112,59,0,6,NaN
0,0,1,1,0,2,32,84,53,108,107,62,59,0,1,15,NaN
1,0,0,0,5,22,15,70,27,36,79,58,143,73,42,7,NaN
0,1,1,0,1,25,29,106,45,84,97,5,29,47,36,26,NaN
0,0,0,0,3,9,92,16,50,37,107,109,126,41,45,0,NaN
0,0,1,0,0,38,22,31,54,84,91,85,0,11,4,5,NaN
3,0,0,0,2,36,118,138,138,102,24,86,76,10,7,0,NaN
0,0,0,0,4,0,86,42,44,64,31,71,1,62,13,5,NaN
0,0,0,1,2,11,45,33,85,29,32,57,35,15,5,47,NaN
2,1,0,0,11,10,10,25,131,84,3,33,29,42,2,58,NaN
0,0,0,0,8,0,38,41,68,21,88,83,112,29,14,13,NaN
0,0,0,0,17,4,38,72,60,66,48,86,80,4,61,1,NaN
0,0,0,0,0,2,42,1,101,75,31,52,10,5,7,6,NaN
0,1,0,2,8,20,32,122,77,7,102,35,60,66,26,1,NaN
1,0,0,0,1,5,14,87,26,110,76,71,113,51,5,16,NaN
2,0,0,0,1,13,43,19,34,109,61,94,47,42,1,12,NaN
0,0,0,0,0,3,41,45,83,54,94,11,8,0,14,20,NaN
0,1,0,0,5,29,14,182,55,104,51,94,92,0,83,5,NaN
2,1,1,2,13,3,17,118,21,85,77,84,28,112,5,1,NaN
4,0,0,1,1,29,44,118,129,106,51,37,32,29,13,1,NaN
0,0,0,0,1,0,1,84,30,67,69,22,31,9,0,10,NaN
0,0,0,0,2,15,3,68,33,187,73,134,15,30,34,0,NaN
1,0,0,0,1,19,21,22,123,109,83,27,72,51,12,5,NaN
1,0,0,4,1,21,28,26,40,81,28,40,23,47,8,17,NaN
2,0,0,0,0,24,4,148,50,60,49,9,62,39,0,8,NaN
0,0,0,0,0,2,16,40,112,49,47,83,1,19,37,0,NaN
0,0,0,2,1,15,49,124,21,63,52,35,34,74,6,0,NaN
1,0,0,1,20,34,54,127,19,39,90,4,47,17,25,0,NaN
0,0,2,0,1,74,36,32,54,9,75,124,25,24,10,5,NaN
0,0,0,0,1,16,59,44,30,79,55,149,45,20,35,6,NaN
0,0,0,1,0,39,20,14,86,43,83,127,68,1,7,8,NaN
2,1,0,1,0,0,67,88,32,85,105,109,24,27,0,13,NaN
7,0,0,0,0,13,12,153,101,76,51,95,14,20,73,35,NaN
0,0,0,0,0,2,19,89,104,109,24,59,110,41,21,0,NaN
0,0,0,1,5,6,34,56,122,116,56,51,76,1,1,27,NaN
0,0,0,7,5,3,19,55,27,35,49,90,19,104,24,5,NaN
0,0,0,0,0,12,1,46,84,107,58,24,0,81,15,0,NaN
