0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,2,3,43,1,1,9,2,25,37,0,35,14,17,NaN
0,0,0,1,2,36,121,25,3,7,34,8,0,1,5,1,NaN
1,1,1,0,0,7,7,25,2,8,35,2,24,23,24,6,NaN
0,0,0,1,0,29,31,7,19,10,6,2,11,39,1,17,NaN
0,0,1,1,0,10,21,6,2,6,5,1,23,11,5,19,NaN
1,1,2,0,4,4,0,43,11,11,18,2,0,36,4,4,NaN
1,0,0,0,1,0,20,7,8,4,0,1,8,1,1,0,NaN
0,0,8,0,0,21,71,55,26,27,0,26,1,16,0,25,NaN
0,0,0,0,1,5,59,3,13,24,48,0,2,6,5,7,NaN
0,0,0,0,0,6,0,26,9,23,18,12,10,2,20,5,NaN
0,0,0,0,4,4,4,9,8,33,43,26,1,1,16,3,NaN
0,1,0,1,2,40,0,0,71,0,31,0,0,5,25,1,NaN
0,0,0,0,0,17,0,1,1,1,52,7,5,1,0,3,NaN
1,1,2,1,0,34,40,4,1,7,8,0,33,0,0,12,NaN
0,0,0,5,1,6,29,0,16,7,1,0,15,1,7,0,NaN
3,0,0,0,0,46,15,5,5,4,24,14,2,3,2,10,NaN
0,0,0,0,0,4,103,17,0,4,0,12,0,26,10,6,NaN
0,0,0,4,0,1,54,0,31,2,1,0,12,8,44,1,NaN
20,0,0,9,5,36,50,0,0,57,24,6,1,18,3,0,NaN
0,1,0,0,0,0,6,0,0,5,48,5,5,1,0,9,NaN
1,0,0,0,6,30,0,0,4,9,5,9,3,7,0,8,NaN
0,4,0,0,0,36,87,8,3,1,17,5,9,19,20,12,NaN
0,0,0,4,0,31,0,1,23,12,10,27,0,1,10,2,NaN
0,0,0,0,0,11,49,44,0,0,8,1,0,0,0,2,NaN
0,0,1,0,0,18,89,0,25,37,19,2,11,0,0,37,NaN
0,1,0,0,0,0,20,0,16,3,29,6,1,0,1,19,NaN
0,0,1,4,0,8,35,41,24,1,3,6,23,7,3,3,NaN
1,3,0,0,1,4,0,0,52,10,21,12,7,30,1,0,NaN
0,0,1,1,0,26,25,5,25,0,15,6,16,15,0,19,NaN
1,0,1,0,0,4,69,3,15,0,2,5,10,3,3,1,NaN
0,1,0,0,0,27,6,3,0,9,5,1,16,2,1,17,NaN
0,0,0,0,1,9,31,5,9,1,5,1,3,12,26,2,NaN
0,2,0,0,0,33,38,1,10,1,5,3,1,2,25,21,NaN
0,0,0,1,0,3,27,12,75,0,13,30,3,12,3,0,NaN
0,0,0,4,0,25,30,0,10,10,20,2,1,0,4,19,NaN
0,1,0,2,0,54,27,4,93,8,34,1,1,0,50,11,NaN
0,1,0,1,1,0,5,26,21,0,14,7,24,0,20,10,NaN
1,0,0,0,0,0,44,23,0,0,8,10,4,7,0,0,NaN
