0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,0,0,0,20,27,60,NaN,36,3,1,NaN,0,0,0
0,0,0,0,2,0,21,1,32,NaN,5,11,0,NaN,3,0,0
0,0,0,0,0,6,7,71,29,NaN,18,11,3,NaN,0,0,0
0,0,0,0,1,1,13,0,68,NaN,0,5,1,NaN,0,0,0
0,0,0,NaN,1,7,0,0,35,NaN,62,27,1,NaN,0,0,0
0,0,0,NaN,0,2,7,21,34,NaN,84,5,3,NaN,2,0,0
0,0,0,NaN,0,4,33,54,19,NaN,38,34,1,NaN,0,0,0
0,0,0,NaN,2,1,0,44,16,NaN,62,3,8,NaN,0,0,0
0,0,0,NaN,1,3,0,8,17,NaN,33,0,2,NaN,0,0,0
0,0,0,NaN,2,2,0,0,36,NaN,3,5,2,NaN,0,0,0
0,0,0,NaN,1,0,42,22,68,NaN,14,8,0,NaN,0,0,0
0,0,0,NaN,0,2,7,8,16,NaN,9,29,4,NaN,0,0,0
0,0,0,NaN,0,0,14,39,32,NaN,10,7,5,NaN,0,1,0
0,0,0,NaN,0,1,15,17,62,NaN,15,2,2,NaN,0,0,6
0,0,0,NaN,0,2,11,52,94,NaN,2,2,25,NaN,0,0,0
0,0,0,NaN,0,0,22,52,22,NaN,31,63,0,NaN,0,0,0
0,0,0,NaN,3,2,33,47,15,NaN,67,44,2,NaN,0,0,0
0,0,0,NaN,0,0,23,6,1,NaN,69,11,7,NaN,0,0,0
0,0,0,NaN,2,4,9,55,35,NaN,18,2,1,NaN,0,0,0
0,0,0,NaN,1,3,0,84,47,NaN,31,34,7,NaN,0,0,0
0,0,0,NaN,0,0,0,29,75,NaN,39,48,0,NaN,0,0,0
0,0,0,NaN,1,3,19,47,62,NaN,55,16,9,NaN,0,8,0
0,0,0,NaN,0,0,0,79,52,NaN,4,28,7,NaN,1,0,0
0,0,0,NaN,1,4,0,46,93,NaN,10,22,2,NaN,0,0,0
0,0,0,NaN,0,3,24,16,117,NaN,72,49,0,NaN,0,0,0
0,0,0,NaN,4,1,0,51,64,NaN,0,26,3,NaN,1,0,0
0,43,0,NaN,0,0,0,52,17,NaN,40,6,1,NaN,2,0,0
0,0,0,NaN,1,3,41,37,0,NaN,5,28,0,NaN,0,0,0
0,0,0,NaN,1,4,0,37,0,NaN,3,1,0,NaN,0,0,0
0,0,0,NaN,1,9,1,11,64,NaN,30,3,5,NaN,1,0,0
0,0,0,NaN,1,0,0,17,53,NaN,37,32,0,NaN,0,0,0
0,0,0,NaN,0,1,7,0,26,NaN,27,35,2,NaN,0,0,0
0,39,0,NaN,0,0,38,0,48,NaN,64,18,4,NaN,1,0,0
0,19,0,NaN,0,5,0,28,1,NaN,53,36,33,NaN,0,0,0
0,0,0,NaN,1,16,0,33,48,NaN,33,29,1,NaN,0,0,0
0,0,0,NaN,14,1,0,1,115,NaN,0,14,2,NaN,0,0,0
0,0,0,NaN,0,1,0,35,121,NaN,4,18,3,NaN,0,0,0
0,0,0,NaN,0,0,18,16,33,NaN,26,19,4,NaN,0,0,0
0,0,0,NaN,1,0,1,13,43,NaN,48,69,2,NaN,0,0,0
1,0,1,NaN,1,0,0,45,3,NaN,47,10,3,NaN,0,0,0
0,0,0,NaN,0,0,23,8,69,NaN,21,5,53,NaN,0,1,0
0,0,0,NaN,0,0,1,7,31,NaN,32,2,1,NaN,0,1,0
0,0,0,NaN,0,6,3,15,88,NaN,9,24,1,NaN,0,0,0
0,0,0,NaN,0,0,1,30,69,NaN,23,0,72,NaN,0,0,0
0,0,0,NaN,0,0,1,11,76,NaN,27,32,0,NaN,0,0,0
0,0,0,NaN,6,0,14,18,25,NaN,11,25,0,NaN,0,0,0
0,0,0,NaN,2,0,13,10,37,NaN,17,2,0,NaN,0,0,0
0,0,0,NaN,0,0,0,66,59,NaN,23,60,8,NaN,0,0,0
0,0,0,NaN,0,22,33,3,102,NaN,35,33,0,NaN,0,0,0
0,0,0,NaN,0,12,12,27,47,NaN,13,13,5,NaN,0,1,0
0,0,0,NaN,1,7,2,0,21,NaN,49,35,5,NaN,0,0,0
0,3,0,NaN,4,11,12,18,2,NaN,0,0,2,NaN,0,1,0
0,0,0,NaN,0,0,0,3,35,NaN,9,22,3,NaN,0,0,0
0,0,0,NaN,0,6,13,60,46,NaN,8,4,15,NaN,0,0,0
0,0,0,NaN,3,0,15,21,26,NaN,75,2,2,NaN,0,0,0
0,0,0,NaN,0,1,1,0,42,NaN,75,3,12,NaN,0,0,0
0,0,0,NaN,0,1,1,33,74,NaN,53,29,7,NaN,0,0,0
0,0,0,NaN,0,0,19,1,88,NaN,69,13,0,NaN,0,0,0
0,0,0,NaN,1,1,44,23,38,NaN,26,27,1,NaN,0,0,0
0,0,0,NaN,1,7,19,6,29,NaN,52,14,0,NaN,1,0,1
0,0,0,NaN,0,0,0,19,28,NaN,0,19,5,NaN,0,0,0
0,0,0,NaN,13,0,3,0,35,NaN,45,22,7,NaN,0,0,0
0,0,0,NaN,5,1,23,8,0,NaN,9,27,0,NaN,1,0,0
