CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,sumNascent
71,333,278,183,120,150,0,8,453,2,1,72,5,0,0,55,0,0,0,0,77
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,161,129,93,59,68,0,2,220,1,1,54,0,0,0,35,0,0,0,0,54
75,138,174,82,120,54,2,0,256,2,1,35,5,0,0,29,0,0,0,0,40
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,243,218,80,55,163,4,2,298,2,1,21,7,0,0,31,0,0,0,0,31
80,282,276,116,108,166,4,6,390,2,1,81,5,0,0,89,0,0,0,0,89
81,428,364,241,178,186,8,4,605,1,1,73,0,0,0,52,0,0,0,0,73
82,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
83,322,303,159,140,163,6,12,462,1,1,21,0,0,0,14,0,0,0,0,21
84,297,306,156,164,141,0,0,461,1,1,63,0,0,0,62,0,0,0,0,63
85,34,0,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
86,318,293,183,158,135,2,4,476,1,1,19,0,0,0,19,0,0,0,0,19
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,152,180,44,72,108,0,0,224,1,1,33,0,0,0,36,0,0,0,0,36
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,127,126,52,53,73,4,0,178,1,1,22,0,0,0,18,0,0,0,0,22
91,292,305,114,122,178,0,10,414,1,2,57,0,0,0,58,5,0,0,0,63
92,401,306,194,99,207,4,4,500,1,1,15,0,0,0,11,0,0,0,0,15
93,444,372,173,104,268,10,0,545,2,1,42,7,0,0,38,0,0,0,0,49
94,170,148,83,64,84,2,0,231,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,529,411,284,160,245,20,12,689,1,2,82,0,0,0,63,5,0,0,0,82
98,407,295,215,110,185,16,4,510,1,1,46,0,0,0,28,0,0,0,0,46
99,334,335,161,160,173,12,24,494,2,6,136,6,0,0,135,12,8,6,0,147
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,205,181,106,82,99,0,4,287,1,1,50,0,0,0,40,0,0,0,0,50
102,88,0,88,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
103,181,94,138,51,43,2,0,232,1,1,78,0,0,0,46,0,0,0,0,78
104,289,260,157,126,132,2,4,415,0,0,0,0,0,0,0,0,0,0,0,0
105,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,447,414,166,138,276,10,8,580,0,0,0,0,0,0,0,0,0,0,0,0
108,427,404,164,140,263,4,12,567,1,1,33,0,0,0,30,0,0,0,0,33
109,120,122,47,49,73,0,0,169,1,1,29,0,0,0,33,0,0,0,0,33
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,284,296,120,133,163,6,14,416,1,1,8,0,0,0,8,0,0,0,0,8
112,135,118,53,37,81,2,2,171,1,1,41,0,0,0,31,0,0,0,0,41
113,95,0,95,0,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0
114,241,261,120,142,119,4,2,381,1,1,45,0,0,0,41,0,0,0,0,45
