unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200034,117,47,70,0,0,0,0,0,0,7982.0,16264.0,40,100,E,2,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200035,243,96,147,0,0,0,0,0,0,8341.0,11804.0,40,100,E,2,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200036,119,45,74,0,0,0,0,0,0,7864.0,10580.0,40,100,E,2,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200037,305,129,176,4,2,24,8,6,9,10546.0,17001.0,40,100,E,2,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200038,73,25,48,0,0,0,0,0,0,10028.0,17270.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200039,125,41,84,0,0,0,0,0,0,9610.0,19451.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200040,454,157,297,0,7,0,0,0,35,9763.0,20133.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200041,112,38,74,0,0,0,0,0,0,8938.0,18504.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200042,111,39,72,1,0,4,4,0,0,7818.0,14229.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200043,119,46,73,3,0,21,13,4,0,8580.0,15125.0,40,100,E,3,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200044,201,61,140,0,1,0,0,0,4,7449.0,17707.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200045,85,44,41,0,0,0,0,0,0,8077.0,12853.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200046,183,30,153,1,1,6,6,0,4,6432.0,23580.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200047,155,56,99,0,0,0,0,0,0,9492.0,16269.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200050,86,26,60,0,0,0,0,0,0,9128.0,18804.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200052,228,93,135,0,1,0,0,0,4,8751.0,14533.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200053,249,95,154,2,0,13,7,6,0,8759.0,17452.0,40,100,E,4,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200055,20,9,11,0,0,0,0,0,0,8074.0,9414.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200056,79,37,42,0,0,0,0,0,0,6196.0,9568.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200057,308,93,215,1,3,5,5,0,14,8247.0,16704.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200058,221,95,126,2,1,8,4,0,4,8329.0,15696.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200059,188,75,113,0,2,0,0,0,11,9102.0,17271.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200062,17,4,13,0,0,0,0,0,0,5363.0,4941.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200063,39,12,27,0,0,0,0,0,0,6536.0,7649.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200064,44,15,29,0,0,0,0,0,0,5537.0,5737.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200065,65,27,38,0,0,0,0,0,0,9402.0,18678.0,40,100,E,5,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
