Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
3994,180,1,10,13
1567,30,10,8,5
389,10,1,2,9
5019,50,100,14,3
960,150,1,8,12
2529,30,100,10,3
6158,180,1,4,4
1808,75,10,6,2
1302,0,100,3,10
3983,180,1,2,4
7026,180,10,3,0
3622,30,1,2,9
2860,75,100,5,1
1370,10,10,6,11
6371,10,10,5,8
6045,75,1,0,3
3500,30,1,3,12
6479,30,10,8,4
3895,75,1,4,9
6510,30,10,10,3
5157,75,100,13,3
6852,75,10,8,2
6301,10,10,2,5
4162,10,10,4,6
1638,50,10,9,4
3505,30,1,4,11
2844,75,100,6,2
916,150,1,11,10
2012,180,10,8,1
966,150,1,6,8
2700,50,100,8,2
4558,180,10,8,2
6438,30,10,8,4
4115,10,10,3,5
4164,10,10,2,5
6133,180,1,11,9
958,150,1,6,8
3635,50,1,4,9
1691,50,10,11,5
5383,0,10,1,7
2432,10,100,15,4
1709,50,10,15,6
4965,50,100,14,3
2851,75,100,4,1
3898,75,1,3,7
3521,30,1,3,8
3591,30,1,4,12
6118,180,1,3,4
3824,75,1,4,10
2392,10,100,11,4
6288,10,10,5,5
3342,10,1,1,8
992,150,1,10,11
1644,50,10,11,5
854,75,1,6,8
7383,50,100,5,1
5114,75,100,5,1
6804,75,10,12,4
1720,75,10,11,4
4979,50,100,11,2
4153,10,10,2,4
6749,75,10,13,7
1811,75,10,7,3
3993,180,1,11,11
1928,150,10,11,2
96,0,100,3,7
4411,50,10,6,4
5545,10,1,2,9
609,50,1,4,11
7715,180,100,1,0
5126,75,100,5,1
6790,75,10,5,1
1421,10,10,8,11
1893,150,10,7,3
6817,75,10,8,2
6229,180,1,4,6
4053,10,10,2,3
5634,30,1,1,3
4474,75,10,10,3
4197,30,10,7,4
3513,30,1,3,9
2541,30,100,13,4
6649,50,10,12,3
4402,50,10,7,3
7056,10,100,4,1
1418,10,10,5,9
2194,0,100,0,6
4123,10,10,2,6
2308,10,100,9,4
827,75,1,6,13
7458,75,100,4,1
4792,10,100,9,2
7084,10,100,4,0
6090,75,1,6,7
4094,10,10,4,9
4299,50,10,11,5
4803,30,100,10,2
1710,50,10,9,6
4883,30,100,8,3
6890,180,10,6,1
3334,10,1,8,15
6200,180,1,6,6
16,0,10,6,15
2798,75,100,8,3
2273,0,1,1,7
4874,30,100,10,2
6302,10,10,2,5
7554,75,100,7,1
982,150,1,4,6
1697,50,10,8,4
7499,75,100,3,0
5507,10,1,3,9
5376,0,100,3,10
5406,0,10,3,11
6568,30,10,7,2
1922,150,10,12,3
7020,180,10,4,1
7688,180,100,3,0
970,150,1,3,4
1863,150,10,10,2
2679,50,100,9,2
6258,180,1,5,12
822,75,1,7,15
1309,0,10,2,11
4394,50,10,7,4
7,0,100,2,11
5094,75,100,6,1
6360,10,10,6,8
3689,50,1,2,6
6716,50,10,11,2
198,0,100,2,9
6780,75,10,13,3
1013,150,1,5,6
3973,180,1,6,9
2499,30,100,13,3
5690,30,1,7,13
4984,50,100,9,1
3169,180,100,12,4
3421,10,1,6,14
4468,75,10,5,2
6582,30,10,5,2
1374,10,10,8,12
4173,30,10,6,4
6686,50,10,12,4
5736,30,1,4,6
3620,30,1,7,15
5092,75,100,7,2
587,30,1,1,7
5959,75,1,4,6
6918,180,10,3,0
3703,50,1,5,12
3662,50,1,3,12
4317,50,10,5,2
3990,180,1,7,8
340,10,1,2,7
5575,10,1,4,9
464,30,1,3,9
5984,75,1,4,8
6957,180,10,1,0
2483,30,100,11,3
7475,75,100,4,1
1371,10,10,5,12
779,75,1,4,10
5267,180,100,7,1
1468,30,10,6,4
859,75,1,7,11
7595,180,100,5,1
4007,180,1,3,4
7075,10,100,4,1
4624,180,10,6,1
4339,50,10,10,4
7285,30,100,7,0
1048,180,1,3,5
7620,180,100,3,0
1456,10,10,4,5
2350,10,100,9,3
5846,50,1,3,7
7311,30,100,6,1
94,0,1,2,6
6023,75,1,3,8
4813,30,100,7,1
4215,30,10,5,4
3904,75,1,3,9
5629,10,1,1,8
829,75,1,4,10
4446,75,10,11,3
3761,50,1,1,5
7405,50,100,3,0
3866,75,1,7,10
7627,180,100,2,0
4401,50,10,9,4
5747,30,1,2,5
6625,50,10,7,2
2113,180,10,9,2
3001,150,100,9,2
5981,75,1,4,7
984,150,1,7,12
3085,180,100,8,5
3455,10,1,4,11
5150,75,100,10,2
6228,180,1,2,4
6073,75,1,5,6
7507,75,100,4,0
1022,180,1,6,8
820,75,1,4,8
5067,50,100,15,3
1005,150,1,9,7
6768,75,10,11,2
5737,30,1,4,7
479,30,1,2,9
6329,10,10,4,6
3233,0,1,3,10
2469,30,100,13,3
3891,75,1,2,9
4581,180,10,10,2
3491,30,1,0,4
143,0,1,4,12
66,0,10,5,11
2169,0,1,2,8
130,0,10,2,8
7100,10,100,5,0
135,0,1,0,6
1607,50,10,11,6
375,10,1,0,5
7265,30,100,7,1
5531,10,1,2,9
1966,150,10,3,1
7442,75,100,4,1
1220,0,10,2,9
3648,50,1,4,8
6410,10,10,2,4
3944,180,1,6,9
679,50,1,6,9
4083,10,10,1,4
3909,75,1,4,8
2440,10,100,14,4
247,0,100,4,10
6096,75,1,6,10
5569,10,1,1,6
7306,30,100,3,0
6187,180,1,9,7
7060,10,100,6,1
4357,50,10,3,2
7533,75,100,9,2
1708,50,10,13,5
6059,75,1,1,5
6577,30,10,8,4
118,0,10,4,11
6926,180,10,5,1
917,150,1,4,7
3133,180,100,14,4
6849,75,10,9,2
1324,10,10,2,5
3606,30,1,4,10
6316,10,10,7,6
4169,10,10,1,3
4372,50,10,5,2
4829,30,100,6,1
904,150,1,8,9
3319,0,100,2,9
4694,10,100,7,2
3143,180,100,4,2
5925,50,1,3,5
6509,30,10,7,2
1277,0,100,5,13
3745,50,1,7,13
3107,180,100,5,2
1087,180,1,12,13
102,0,10,4,15
882,150,1,7,6
6601,50,10,5,2
6540,30,10,15,6
2491,30,100,12,3
1996,150,10,9,1
5227,180,100,9,3
6706,50,10,12,5
