rep,worm,treatment,AU,genotype,IntensityIntegers,time
Rep2,2,L4440,0.349464864,ELT-2-GFP-ELT-7-deletion,3,1
Rep2,3,L4440,0.738182013,ELT-2-GFP-ELT-7-deletion,7,1
Rep2,4,L4440,0.117863185,ELT-2-GFP-ELT-7-deletion,1,1
Rep2,5,L4440,0.334056497,ELT-2-GFP-ELT-7-deletion,3,1
Rep2,6,L4440,0.472820175,ELT-2-GFP-ELT-7-deletion,5,1
Rep2,7,L4440,0.622437715,ELT-2-GFP-ELT-7-deletion,6,1
Rep2,8,L4440,0.815299058,ELT-2-GFP-ELT-7-deletion,8,1
Rep2,9,L4440,0.283769161,ELT-2-GFP-ELT-7-deletion,3,1
Rep2,10,L4440,0.622556555,ELT-2-GFP-ELT-7-deletion,6,1
Rep3,1,ELT-2,0.628963813,ELT-2-GFP-ELT-7-deletion,6,2
Rep3,2,ELT-2,0.645448232,ELT-2-GFP-ELT-7-deletion,6,1
Rep3,3,ELT-2,0.538597632,ELT-2-GFP-ELT-7-deletion,5,1
Rep3,4,ELT-2,0.465868164,ELT-2-GFP-ELT-7-deletion,5,1
Rep3,5,ELT-2,0.826943018,ELT-2-GFP-ELT-7-deletion,8,1
Rep3,6,ELT-2,0.565302982,ELT-2-GFP-ELT-7-deletion,6,1
Rep3,7,ELT-2,0.148018354,ELT-2-GFP-ELT-7-deletion,1,1
Rep3,8,ELT-2,0.233917598,ELT-2-GFP-ELT-7-deletion,2,1
Rep3,9,ELT-2,0.309821099,ELT-2-GFP-ELT-7-deletion,3,1
Rep3,10,ELT-2,0.454044677,ELT-2-GFP-ELT-7-deletion,5,1
Rep3,1,L4440,0.532994053,ELT-2-GFP-ELT-7-deletion,5,2
Rep3,2,L4440,0.920704044,ELT-2-GFP-ELT-7-deletion,9,1
Rep3,3,L4440,0.383833266,ELT-2-GFP-ELT-7-deletion,4,1
Rep3,4,L4440,0.310287713,ELT-2-GFP-ELT-7-deletion,3,1
Rep3,5,L4440,0.483293596,ELT-2-GFP-ELT-7-deletion,5,1
Rep3,6,L4440,0.437044554,ELT-2-GFP-ELT-7-deletion,4,1
Rep3,7,L4440,0.366116591,ELT-2-GFP-ELT-7-deletion,4,1
Rep3,8,L4440,0.432912247,ELT-2-GFP-ELT-7-deletion,4,1
Rep3,9,L4440,0.667117932,ELT-2-GFP-ELT-7-deletion,7,1
Rep3,10,L4440,0.666091849,ELT-2-GFP-ELT-7-deletion,7,1
