time,exp1_s1,exp1_s2,exp1_s3
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
-120,1,0,0
