Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
0,0,100,4,9
1,0,10,6,9
2,0,10,2,8
3,0,1,4,11
4,0,100,4,6
5,0,10,5,12
6,0,1,4,11
7,0,100,3,8
8,0,10,8,15
9,0,10,3,9
10,0,100,3,9
11,0,10,3,10
12,0,100,1,6
13,0,100,1,8
14,0,100,5,12
15,0,1,1,8
16,0,1,0,7
17,0,100,4,11
18,0,10,4,10
19,0,10,4,11
20,0,10,2,8
21,0,1,6,12
22,0,1,3,12
23,0,1,4,10
24,0,100,1,7
25,0,100,3,9
26,0,100,3,10
27,0,10,1,8
28,0,100,3,10
29,0,100,5,10
30,0,1,3,10
31,0,1,4,11
32,0,100,4,10
33,0,100,5,14
34,0,1,4,11
35,0,1,7,16
36,0,1,6,13
37,0,10,3,13
38,0,1,3,13
39,0,100,5,11
40,0,1,6,13
41,0,1,0,5
42,0,1,5,11
43,0,100,2,8
44,0,100,2,10
45,0,10,4,14
46,0,100,1,8
47,0,100,0,5
48,0,1,1,7
49,0,10,6,17
50,0,100,7,19
51,0,1,2,7
52,0,1,5,9
53,0,1,5,11
54,0,1,3,10
55,0,100,9,20
56,0,1,4,11
57,0,100,9,18
58,0,10,8,20
59,0,1,4,16
60,0,1,6,13
61,0,10,4,15
62,0,1,0,7
63,0,1,1,7
64,0,10,5,12
65,0,10,1,8
66,0,10,0,6
67,0,100,6,16
68,0,100,4,12
69,0,100,7,16
70,0,1,4,10
71,0,10,3,14
72,0,1,2,7
73,0,1,6,16
74,0,10,5,11
75,0,100,3,9
76,0,100,3,11
77,0,1,2,9
78,0,1,7,17
79,0,1,4,9
80,0,1,3,9
81,0,100,1,7
82,0,10,3,10
83,0,1,6,15
84,0,1,2,9
85,0,100,5,12
86,0,100,2,9
87,0,1,5,11
88,0,10,1,8
89,0,10,0,5
90,0,1,3,11
91,0,1,2,7
92,0,10,3,9
93,0,10,2,8
94,0,1,4,14
95,0,10,3,10
96,0,100,3,11
97,0,1,2,10
98,0,10,2,11
99,0,1,4,12
100,0,1,5,14
101,0,1,3,10
102,0,100,11,20
103,0,10,4,13
104,0,1,7,18
105,0,1,2,9
106,0,100,3,9
107,0,100,3,9
108,0,10,2,10
109,0,100,5,14
110,0,100,6,13
111,0,10,2,7
112,0,10,3,9
113,0,1,2,7
114,0,100,6,15
115,0,1,3,8
116,0,1,7,13
117,0,1,4,15
118,0,1,3,11
119,0,100,7,18
120,0,10,4,11
121,0,1,2,6
122,0,10,2,8
123,0,1,4,10
124,0,10,4,13
125,0,10,1,6
126,0,100,0,5
127,0,100,2,9
128,0,10,1,9
129,0,1,4,10
130,0,10,2,10
131,0,100,5,12
132,0,100,4,12
133,0,1,3,10
134,0,1,5,12
135,0,100,3,8
136,0,100,3,13
137,0,100,3,11
138,0,1,5,11
139,0,1,6,12
140,0,10,5,11
141,0,100,4,11
142,0,100,5,10
143,0,10,0,6
144,0,1,1,5
145,0,1,2,6
146,0,10,5,11
147,0,10,4,10
148,0,1,3,9
149,0,1,3,8
150,0,1,6,13
151,0,10,3,10
152,0,10,5,15
153,0,100,1,8
154,0,100,3,8
155,0,1,4,10
156,0,100,6,15
157,0,1,3,8
158,0,10,3,10
159,0,100,2,8
160,0,100,1,7
161,0,100,0,7
162,0,10,0,4
163,0,100,3,11
164,0,10,4,12
165,0,100,4,11
166,0,100,4,11
167,0,100,3,10
168,0,100,5,10
169,0,1,4,13
170,0,1,5,12
171,0,100,4,12
172,0,1,4,10
173,0,10,3,10
174,0,1,4,10
175,0,100,3,9
176,0,1,3,8
177,0,100,2,8
178,0,1,2,7
179,0,10,6,11
180,0,1,4,10
181,0,100,6,20
182,0,1,4,16
183,0,100,4,11
184,0,1,6,12
185,0,1,6,10
186,0,1,4,12
187,0,100,5,9
188,0,1,5,9
189,0,100,3,11
190,0,1,3,7
191,0,100,4,9
192,0,100,2,8
193,0,1,5,11
194,0,10,4,11
195,0,1,3,9
196,0,1,2,7
197,0,10,5,10
198,0,1,3,10
199,0,10,6,15
200,0,10,5,12
201,0,100,3,10
202,0,100,2,8
203,0,1,3,10
204,0,100,0,5
205,0,100,3,8
206,0,1,3,9
207,0,100,0,6
208,0,1,1,8
209,0,100,5,11
210,0,10,4,10
211,0,100,3,10
212,0,10,2,8
213,0,1,4,13
214,0,1,6,16
215,0,10,2,7
216,0,10,4,11
217,0,100,5,16
218,0,100,3,9
219,0,100,3,11
220,0,100,5,13
221,0,10,5,11
222,0,1,2,9
223,0,100,4,10
224,0,100,3,9
225,0,10,0,5
226,0,1,4,10
227,0,100,4,9
228,0,100,4,9
229,0,100,2,8
230,0,1,3,9
231,0,10,5,12
232,0,1,4,13
233,0,100,6,14
234,0,1,4,10
235,0,100,2,9
236,0,100,3,10
237,0,1,2,6
238,0,1,1,7
239,0,1,4,11
240,0,1,5,12
241,0,10,4,11
242,0,10,3,9
243,0,1,2,8
244,0,10,5,14
245,0,100,3,12
246,0,10,3,8
247,0,100,3,8
248,0,1,1,6
249,0,10,3,6
250,0,1,9,16
251,0,10,3,9
252,0,100,3,10
253,0,100,1,7
254,0,100,3,13
255,0,100,3,12
256,0,100,5,12
257,0,1,8,15
258,0,100,1,7
259,0,1,2,8
260,0,10,1,7
261,0,100,4,12
262,0,10,4,11
263,0,100,3,9
264,0,1,2,6
265,0,10,3,10
266,0,10,2,10
267,0,10,6,14
268,0,1,1,8
269,0,100,2,11
270,0,100,2,9
271,0,100,2,11
272,0,100,1,7
273,0,100,1,9
274,0,1,6,13
275,0,1,3,9
276,0,10,0,6
277,0,1,0,5
278,0,10,1,9
279,0,1,1,7
280,0,100,0,4
281,0,1,6,12
282,0,1,5,11
283,0,1,5,14
284,0,100,1,10
285,0,1,4,9
286,0,1,4,14
287,0,10,5,14
288,0,1,3,11
289,0,100,4,15
290,0,10,3,12
291,0,10,3,11
292,0,100,3,9
293,0,100,4,16
294,0,1,4,15
295,0,1,0,5
296,0,100,2,7
297,0,10,0,6
298,0,100,3,11
299,0,100,3,11
300,0,10,5,14
301,0,1,4,14
302,0,10,2,10
303,0,100,4,13
304,0,100,4,13
305,0,100,5,14
306,0,1,2,8
307,0,100,4,11
308,0,1,2,7
309,0,100,2,7
310,0,10,5,12
311,0,1,5,12
312,0,100,3,9
313,0,10,3,10
314,0,100,2,8
315,0,10,3,12
316,0,1,5,13
317,0,100,5,12
318,0,1,1,8
319,0,100,3,10
320,0,1,5,12
321,0,1,4,10
322,0,10,2,10
323,0,100,1,8
324,0,100,2,9
325,0,10,5,13
326,0,1,3,9
327,0,10,4,11
328,0,100,3,10
329,0,1,5,12
330,0,10,1,7
331,0,10,4,11
332,0,10,1,5
333,0,100,2,7
334,0,100,5,17
335,0,10,4,11
336,0,100,0,6
337,0,100,1,7
338,0,1,0,5
339,0,100,4,13
340,0,1,5,15
341,0,10,3,10
342,0,1,4,10
343,0,10,3,9
344,0,1,6,14
345,0,1,4,9
346,0,1,3,10
347,0,100,5,14
348,0,10,6,13
349,0,100,3,10
350,0,100,5,10
351,0,10,4,9
352,0,100,0,5
353,0,1,2,8
354,0,100,1,7
355,0,100,2,6
356,0,10,3,9
357,0,1,2,9
358,0,100,4,11
359,0,100,3,8
360,0,1,12,20
361,0,100,3,10
362,0,10,4,12
363,0,1,4,11
364,0,1,4,9
365,0,1,3,10
366,0,100,2,6
367,0,100,2,7
368,0,10,2,6
369,0,10,4,9
370,0,1,5,14
371,0,1,5,13
372,0,1,2,8
373,0,100,3,9
374,0,10,3,11
375,0,100,2,9
376,0,1,4,13
377,0,100,4,14
378,0,100,2,9
379,0,100,2,9
380,0,1,0,5
381,0,10,4,11
382,0,1,3,12
383,0,100,4,10
384,0,100,5,14
385,0,10,3,9
386,0,10,5,19
387,0,100,2,8
388,0,100,6,19
389,0,100,3,8
390,0,10,6,15
391,0,1,3,9
392,0,1,3,9
393,0,1,0,5
394,0,100,5,10
395,0,100,2,8
396,0,10,6,13
397,0,100,4,13
398,0,100,2,10
399,0,10,3,9
400,0,10,3,9
401,0,10,1,5
402,0,1,2,7
403,0,1,2,8
404,0,1,2,8
405,0,1,2,6
406,0,10,5,11
407,0,10,3,7
408,0,100,9,11
409,0,1,5,11
410,0,1,5,13
411,0,10,2,9
412,0,1,2,9
413,0,1,6,14
414,0,10,2,8
415,0,1,6,12
416,0,1,2,7
417,0,100,3,9
418,0,10,4,12
419,0,10,3,9
420,0,1,4,6
421,0,10,0,6
422,0,1,4,9
423,0,100,4,12
424,0,10,2,9
425,0,100,2,10
426,0,1,3,10
427,0,1,1,8
428,0,10,4,12
429,0,100,4,10
430,0,100,3,10
431,0,1,6,16
432,0,1,4,11
433,0,100,3,10
434,0,100,0,2
435,0,10,3,11
436,0,1,5,10
437,0,100,6,13
438,0,1,8,18
439,0,100,4,11
440,0,10,4,10
441,0,1,5,19
442,0,1,3,12
443,0,100,4,14
444,0,100,5,10
445,0,1,3,12
446,0,100,9,15
447,0,10,6,12
448,0,1,3,7
449,0,1,2,11
450,0,1,2,11
451,0,100,5,11
452,0,100,4,9
453,0,1,4,12
454,0,10,2,10
455,0,100,5,13
456,0,10,5,13
457,0,10,2,9
458,0,10,3,11
459,0,10,6,13
460,0,1,0,5
461,0,1,0,5
462,0,10,4,11
463,0,1,3,11
464,0,1,3,11
465,0,10,2,6
466,0,1,4,12
467,0,10,3,12
468,0,100,4,11
469,0,100,5,14
470,0,100,6,16
471,0,10,5,12
472,0,100,3,10
473,0,1,0,6
474,0,1,1,7
475,0,100,2,9
476,0,10,4,10
477,0,100,3,11
478,0,1,3,8
479,0,1,4,12
480,0,1,5,14
481,0,1,5,13
482,0,1,3,11
483,0,100,5,12
484,0,10,4,14
485,0,1,6,14
486,0,100,1,8
487,0,100,5,14
488,0,10,2,7
489,0,10,1,5
490,0,1,2,8
491,0,1,2,8
492,0,100,1,7
493,0,10,6,14
494,0,1,3,9
495,0,1,2,10
496,0,100,4,10
497,0,1,3,11
498,0,1,3,8
499,0,100,4,10
500,0,100,2,11
501,0,100,2,9
502,0,100,3,12
503,0,10,0,6
504,0,10,1,7
505,0,10,2,9
506,0,10,0,6
507,0,1,1,7
508,0,100,2,10
509,0,10,5,10
510,0,100,3,11
511,0,100,7,10
512,0,100,7,15
513,0,1,3,12
514,0,1,7,18
515,0,1,3,9
516,0,100,6,18
517,0,100,0,4
518,0,1,5,14
519,0,1,5,15
520,0,1,4,13
521,0,100,3,11
522,0,1,3,10
523,0,1,1,7
524,0,1,0,4
525,0,1,1,5
526,0,100,4,10
527,0,1,2,10
528,0,10,4,11
529,0,10,4,14
530,0,100,1,8
531,0,1,5,13
532,0,10,3,12
533,0,10,3,9
534,0,10,8,19
535,0,100,2,9
536,0,1,2,8
537,0,1,7,15
538,0,10,4,12
539,0,10,1,7
540,0,100,3,9
541,0,10,5,11
542,0,100,4,10
543,0,1,4,11
544,0,10,1,7
545,0,100,3,11
546,0,10,3,11
547,0,100,2,11
548,0,10,5,15
549,0,10,4,12
550,0,10,4,11
551,0,10,3,10
552,0,10,3,8
553,0,100,3,10
554,0,100,3,8
555,0,1,4,14
556,0,1,2,8
557,0,1,4,14
558,0,1,3,10
559,0,1,1,8
560,0,10,2,11
561,0,100,4,11
562,0,100,2,7
563,0,1,3,11
564,0,1,3,11
565,0,10,3,10
566,0,100,5,10
567,0,100,3,10
568,0,1,0,4
569,0,100,0,5
570,0,1,4,11
571,0,1,1,7
572,0,100,1,6
573,0,1,4,11
574,0,1,4,10
575,0,1,3,10
576,0,10,4,11
577,0,1,7,17
578,0,100,3,10
579,0,10,2,9
580,0,10,5,10
581,0,10,3,9
582,0,1,2,10
583,0,1,5,13
584,0,10,0,5
585,0,1,1,9
586,0,100,1,6
587,0,1,0,5
588,0,100,0,5
589,0,100,1,8
590,0,10,3,9
591,0,1,1,6
592,0,10,2,7
593,0,100,7,17
594,0,100,2,11
595,0,1,7,16
596,0,1,1,6
597,0,1,4,10
598,0,10,3,12
599,0,100,2,9
600,0,10,3,12
601,0,1,1,5
602,0,1,3,9
603,10,1,4,9
604,10,1,6,15
605,10,1,4,11
606,10,1,3,10
607,10,1,7,15
608,10,1,5,11
609,10,1,4,12
610,10,1,3,12
611,10,1,4,12
612,10,1,1,8
613,10,1,4,11
