Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
46,DUSP1_timesweep,G,0.0,0,,8722,15717.0,,,1313.26026,1362.39575,29.0,114.0,,,,
47,DUSP1_timesweep,G,0.0,0,,9508,17790.0,,,1336.88136,1432.35138,23.0,152.0,,,,
48,DUSP1_timesweep,G,0.0,0,,9229,12982.0,,,1379.60202,1433.88207,51.0,138.0,,,,
49,DUSP1_timesweep,G,0.0,0,,8718,15864.0,,,1385.74375,1458.42574,32.0,123.0,,,,
50,DUSP1_timesweep,G,0.0,0,,10366,15479.0,,,1364.76925,1430.56237,42.0,149.0,,,,
51,DUSP1_timesweep,G,0.0,0,,9418,16977.0,,,1221.36696,1281.55016,8.0,41.0,,,,
52,DUSP1_timesweep,G,0.0,0,,7196,16258.0,,,1099.35881,1121.77051,7.0,10.0,,,,
53,DUSP1_timesweep,G,0.0,0,,8672,13483.0,,,1138.86335,1210.98272,6.0,18.0,,,,
54,DUSP1_timesweep,G,0.0,0,,7958,12647.0,,,1172.10832,1232.44643,11.0,53.0,,,,
55,DUSP1_timesweep,G,0.0,0,,8277,15392.0,,,1246.08469,1276.4974,35.0,114.0,,,,
56,DUSP1_timesweep,G,0.0,0,,8596,12934.0,,,1326.01954,1442.88263,79.0,207.0,,,,
57,DUSP1_timesweep,G,0.0,0,,10423,18112.0,,,1234.57594,1271.21223,57.0,131.0,,,,
58,DUSP1_timesweep,G,0.0,0,,8947,15850.0,,,1365.12853,1426.23483,48.0,138.0,,,,
59,DUSP1_timesweep,G,0.0,0,,8539,15905.0,,,1272.42616,1283.89582,10.0,42.0,,,,
60,DUSP1_timesweep,G,0.0,0,,8216,15296.0,,,1185.7825,1200.61951,7.0,34.0,,,,
61,DUSP1_timesweep,G,0.0,0,,9869,19490.0,,,1354.44837,1389.54233,39.0,141.0,,,,
62,DUSP1_timesweep,G,0.0,0,,9524,16335.0,,,1265.376,1298.68026,29.0,79.0,,,,
63,DUSP1_timesweep,G,0.0,0,,10782,20589.0,,,1270.25422,1337.38982,54.0,127.0,,,,
64,DUSP1_timesweep,G,0.0,0,,9694,15700.0,,,1077.36404,1092.09764,5.0,11.0,,,,
65,DUSP1_timesweep,G,0.0,0,,8853,16603.0,,,1194.5719,1233.89201,37.0,104.0,,,,
66,DUSP1_timesweep,G,0.0,0,,7272,14647.0,,,1232.7456,1330.63037,44.0,136.0,,,,
67,DUSP1_timesweep,G,0.0,0,,10369,15025.0,,,1212.08795,1247.61631,13.0,43.0,,,,
68,DUSP1_timesweep,G,0.0,0,,8297,20774.0,,,1393.80848,1461.19703,33.0,163.0,,,,
69,DUSP1_timesweep,G,0.0,0,,7828,13112.0,,,1373.16748,1345.61959,29.0,42.0,,,,
70,DUSP1_timesweep,G,0.0,0,,8631,20012.0,,,1201.18329,1236.80337,6.0,40.0,,,,
71,DUSP1_timesweep,G,0.0,0,,10495,19161.0,,,1348.95465,1432.80205,21.0,162.0,,,,
72,DUSP1_timesweep,G,0.0,0,,2141,13630.0,,,1274.31154,1322.54952,4.0,47.0,,,,
73,DUSP1_timesweep,G,0.0,0,,8129,17315.0,,,1229.15008,1272.58573,8.0,43.0,,,,
74,DUSP1_timesweep,G,0.0,0,,6897,14849.0,,,1215.04466,1286.71203,6.0,46.0,,,,
75,DUSP1_timesweep,G,0.0,0,,10203,20109.0,,,1206.85093,1259.35606,23.0,90.0,,,,
76,DUSP1_timesweep,G,0.0,0,,5278,15750.0,,,1345.26923,1329.66438,7.0,45.0,,,,
77,DUSP1_timesweep,G,0.0,0,,8515,18477.0,,,1350.78203,1393.92277,16.0,103.0,,,,
78,DUSP1_timesweep,G,0.0,0,,9527,20485.0,,,1272.05983,1351.21909,24.0,84.0,,,,
79,DUSP1_timesweep,G,0.0,0,,10229,20192.0,,,1325.88581,1391.42982,15.0,106.0,,,,
80,DUSP1_timesweep,G,0.0,0,,7246,12385.0,,,1316.07618,1306.22737,12.0,34.0,,,,
81,DUSP1_timesweep,G,0.0,0,,10436,20540.0,,,1280.03689,1306.55078,21.0,63.0,,,,
82,DUSP1_timesweep,G,0.0,0,,8281,20526.0,,,1016.97162,1066.13563,4.0,3.0,13.0,,,
83,DUSP1_timesweep,G,0.0,0,,7148,13624.0,,,1108.61276,1152.60548,2.0,8.0,,,,
84,DUSP1_timesweep,G,0.0,0,,8532,14086.0,,,1211.20054,1112.77545,15.0,16.0,,,,
85,DUSP1_timesweep,G,0.0,0,,7867,20019.0,,,1164.3113,1157.49188,5.0,36.0,,,,
86,DUSP1_timesweep,G,0.0,0,,5583,13243.0,,,1073.54863,1126.68987,6.0,34.0,,,,
87,DUSP1_timesweep,G,0.0,0,,8495,12453.0,,,1326.41142,1370.44624,14.0,70.0,,,,
88,DUSP1_timesweep,G,0.0,0,,7999,18626.0,,,1360.27816,1361.8777,11.0,85.0,,,,
89,DUSP1_timesweep,G,0.0,0,,8592,18032.0,,,1245.33613,1274.20685,11.0,60.0,,,,
90,DUSP1_timesweep,G,0.0,0,,3800,20243.0,,,1308.70263,1364.16025,3.0,109.0,,,,
91,DUSP1_timesweep,G,0.0,0,,11990,20826.0,,,1343.04595,1355.06914,29.0,91.0,,,,
92,DUSP1_timesweep,G,0.0,0,,8393,13630.0,,,1423.85583,1464.19332,41.0,135.0,,,,
93,DUSP1_timesweep,G,0.0,0,,8902,14642.0,,,1345.03246,1366.31253,29.0,72.0,,,,
94,DUSP1_timesweep,G,0.0,0,,12003,14302.0,,,1149.52795,1186.07258,15.0,23.0,,,,
95,DUSP1_timesweep,G,0.0,0,,7818,20629.0,,,1034.08826,1051.52494,0.0,10.0,,,,
96,DUSP1_timesweep,G,0.0,0,,3368,19287.0,,,1185.83848,1317.55804,28.0,193.0,,,,
97,DUSP1_timesweep,G,0.0,0,,8184,20190.0,,,1110.36229,1082.16855,35.0,49.0,,,,
98,DUSP1_timesweep,G,0.0,0,,8269,18481.0,,,1333.71133,1399.82831,47.0,183.0,,,,
99,DUSP1_timesweep,G,0.0,0,,8565,18961.0,,,1300.56276,1392.99172,18.0,144.0,,,,
100,DUSP1_timesweep,G,0.0,0,,10243,17010.0,,,1383.23558,1462.507,55.0,163.0,4.0,,,
101,DUSP1_timesweep,G,0.0,0,,7924,17699.0,,,1406.20066,1494.14379,50.0,237.0,,,,
102,DUSP1_timesweep,G,0.0,0,,9375,18489.0,,,1340.16768,1370.57921,27.0,100.0,,,,
103,DUSP1_timesweep,G,0.0,0,,9243,13020.0,,,1148.55382,1202.40614,24.0,48.0,,,,
104,DUSP1_timesweep,G,0.0,0,,9056,18718.0,,,1149.83138,1206.41618,17.0,41.0,,,,
105,DUSP1_timesweep,G,0.0,0,,8745,19460.0,,,1153.24666,1154.63273,9.0,45.0,,,,
106,DUSP1_timesweep,G,0.0,0,,7608,13617.0,,,1262.70465,1368.42719,29.0,131.0,,,,
107,DUSP1_timesweep,G,0.0,0,,9654,17503.0,,,1166.87042,1248.05508,13.0,73.0,,,,
108,DUSP1_timesweep,G,0.0,0,,8760,15784.0,,,1364.54155,1425.5951,38.0,168.0,10.0,,,
109,DUSP1_timesweep,G,0.0,0,,9169,19382.0,,,1331.12368,1399.93958,18.0,159.0,,,,
110,DUSP1_timesweep,G,0.0,0,,10551,12569.0,,,1247.52137,1315.49789,23.0,73.0,,,,
111,DUSP1_timesweep,G,0.0,0,,7522,12338.0,,,1435.53962,1469.22962,54.0,146.0,,,,
112,DUSP1_timesweep,G,0.0,0,,7298,12791.0,,,1288.56783,1319.5378,18.0,49.0,,,,
113,DUSP1_timesweep,G,0.0,0,,10373,18699.0,,,1378.87554,1496.5549,50.0,246.0,4.0,,,
114,DUSP1_timesweep,G,0.0,0,,7969,12613.0,,,1260.77036,1315.51915,17.0,60.0,,,,
115,DUSP1_timesweep,G,0.0,0,,7500,13741.0,,,1132.03773,1213.96245,3.0,19.0,,,,
116,DUSP1_timesweep,G,0.0,0,,8356,12314.0,,,1357.12733,1360.51178,63.0,77.0,,,,
117,DUSP1_timesweep,G,0.0,0,,5432,14641.0,,,1189.00147,1297.635,6.0,67.0,,,,
118,DUSP1_timesweep,G,0.0,0,,5936,19405.0,,,1319.11388,1330.53131,42.0,136.0,,,,
119,DUSP1_timesweep,G,0.0,0,,7909,17442.0,,,1148.74118,1190.17733,10.0,40.0,,,,
120,DUSP1_timesweep,G,0.0,0,,7502,12547.0,,,1234.31792,1297.68455,18.0,89.0,,,,
121,DUSP1_timesweep,G,0.0,0,,12017,19514.0,,,1242.58783,1283.57513,27.0,132.0,,,,
122,DUSP1_timesweep,G,0.0,0,,8211,13878.0,,,1337.05164,1411.10391,39.0,154.0,,,,
123,DUSP1_timesweep,G,0.0,0,,7029,12596.0,,,1361.64063,1446.63274,14.0,135.0,,,,
124,DUSP1_timesweep,G,0.0,0,,6861,13173.0,,,1421.29063,1452.07379,61.0,159.0,,,,
125,DUSP1_timesweep,G,0.0,0,,11171,19710.0,,,1366.37812,1508.22466,31.0,244.0,,,,
126,DUSP1_timesweep,G,0.0,0,,9981,16509.0,,,1334.25979,1442.85735,35.0,149.0,,,,
127,DUSP1_timesweep,G,0.0,0,,10444,14768.0,,,1195.18355,1246.21337,5.0,38.0,,,,
128,DUSP1_timesweep,G,0.0,0,,5037,13593.0,,,1353.08457,1392.41764,20.0,116.0,,,,
129,DUSP1_timesweep,G,0.0,0,,10391,19948.0,,,1344.6906,1407.12989,33.0,135.0,,,,
130,DUSP1_timesweep,G,0.0,0,,8494,12212.0,,,1196.31104,1189.77661,25.0,45.0,,,,
131,DUSP1_timesweep,G,0.0,0,,7865,13927.0,,,1321.3808,1410.41086,63.0,170.0,,,,
132,DUSP1_timesweep,G,0.0,0,,12660,20474.0,,,1322.09163,1449.6224,63.0,292.0,,,,
133,DUSP1_timesweep,G,0.0,0,,9139,14538.0,,,1321.50005,1387.86773,40.0,141.0,,,,
134,DUSP1_timesweep,G,0.0,0,,6794,12768.0,,,1221.39756,1209.65398,18.0,53.0,,,,
135,DUSP1_timesweep,G,0.0,0,,10232,16601.0,,,1395.29496,1455.10246,41.0,150.0,4.0,,,
136,DUSP1_timesweep,G,0.0,0,,9018,12878.0,,,1426.9766,1562.98346,64.0,220.0,,,,
137,DUSP1_timesweep,G,0.0,0,,6621,14920.0,,,1285.15602,1312.08311,18.0,79.0,,,,
138,DUSP1_timesweep,G,0.0,0,,9290,19999.0,,,1363.00549,1420.23981,36.0,163.0,,,,
139,DUSP1_timesweep,G,0.0,0,,9115,15329.0,,,1143.28162,1202.31183,12.0,37.0,,,,
140,DUSP1_timesweep,G,0.0,0,,8160,14828.0,,,1195.8299,1241.1019,9.0,30.0,,,,
141,DUSP1_timesweep,G,0.0,0,,8724,14162.0,,,1242.99599,1267.97896,24.0,58.0,,,,
142,DUSP1_timesweep,G,0.0,0,,9100,16710.0,,,1257.77044,1306.63603,23.0,108.0,,,,
143,DUSP1_timesweep,G,0.0,0,,8841,14403.0,,,1194.25303,1275.05763,28.0,95.0,,,,
144,DUSP1_timesweep,G,0.0,0,,9544,12861.0,,,1261.25953,1356.49491,79.0,159.0,,,,
145,DUSP1_timesweep,G,0.0,0,,10773,17927.0,,,1364.51787,1480.09483,72.0,236.0,,,,
146,DUSP1_timesweep,G,0.0,0,,10996,13350.0,,,1272.24991,1301.8191,19.0,73.0,,,,
147,DUSP1_timesweep,G,0.0,0,,9464,19518.0,,,1389.38071,1461.38841,32.0,179.0,,,,
148,DUSP1_timesweep,G,0.0,0,,8787,15114.0,,,1329.6092,1366.73574,17.0,62.0,,,,
149,DUSP1_timesweep,G,0.0,0,,9494,14643.0,,,1293.74131,1364.51076,31.0,85.0,,,,
150,DUSP1_timesweep,G,0.0,0,,10737,18231.0,,,1293.6852,1367.50354,20.0,105.0,,,,
151,DUSP1_timesweep,G,0.0,0,,9379,14562.0,,,1236.11984,1321.43545,23.0,86.0,,,,
152,DUSP1_timesweep,G,0.0,0,,10300,17520.0,,,1088.25728,1089.94081,3.0,14.0,,,,
153,DUSP1_timesweep,G,0.0,0,,9511,15902.0,,,1131.0778,1203.61477,4.0,48.0,,,,
154,DUSP1_timesweep,G,0.0,0,,5931,20507.0,,,1187.11195,1179.69737,14.0,68.0,,,,
155,DUSP1_timesweep,G,0.0,0,,9298,17622.0,,,1339.83663,1371.71399,23.0,118.0,,,,
156,DUSP1_timesweep,G,0.0,0,,7879,13961.0,,,1166.60858,1207.04176,6.0,29.0,,,,
157,DUSP1_timesweep,G,0.0,0,,9752,17932.0,,,1259.51077,1334.93364,55.0,189.0,,,,
158,DUSP1_timesweep,G,0.0,0,,8574,19280.0,,,1236.36657,1286.35851,12.0,107.0,,,,
159,DUSP1_timesweep,G,0.0,0,,11131,15920.0,,,1308.45539,1443.64265,45.0,206.0,,,,
160,DUSP1_timesweep,G,0.0,0,,7979,16359.0,,,1352.83444,1463.62589,35.0,235.0,,,,
161,DUSP1_timesweep,G,0.0,0,,8028,15526.0,,,1212.57947,1301.13474,11.0,60.0,,,,
162,DUSP1_timesweep,G,0.0,0,,8502,14895.0,,,1377.66161,1434.49178,25.0,120.0,,,,
163,DUSP1_timesweep,G,0.0,0,,6941,12648.0,,,1339.46549,1437.59772,16.0,119.0,,,,
164,DUSP1_timesweep,G,0.0,0,,7417,19110.0,,,1217.77552,1228.04155,15.0,67.0,,,,
165,DUSP1_timesweep,G,0.0,0,,8863,19588.0,,,1315.71725,1356.12559,18.0,102.0,15.0,,,
166,DUSP1_timesweep,G,0.0,0,,8803,17257.0,,,1292.07282,1339.25056,9.0,64.0,,,,
167,DUSP1_timesweep,G,0.0,0,,8579,18148.0,,,1237.02937,1282.31756,26.0,67.0,,,,
168,DUSP1_timesweep,G,0.0,0,,6884,13922.0,,,1190.67083,1241.36295,11.0,60.0,,,,
169,DUSP1_timesweep,G,0.0,0,,10769,14417.0,,,1242.09527,1297.15426,37.0,91.0,8.0,,,
170,DUSP1_timesweep,G,0.0,0,,8302,14822.0,,,1117.1278,1228.36203,40.0,79.0,,,,
171,DUSP1_timesweep,G,0.0,0,,7518,15003.0,,,1389.20724,1401.14677,33.0,108.0,,,,
172,DUSP1_timesweep,G,0.0,0,,9086,19729.0,,,1351.96808,1363.52709,44.0,102.0,,,,
173,DUSP1_timesweep,G,0.0,0,,7953,19375.0,,,1230.94455,1253.61533,7.0,41.0,,,,
174,DUSP1_timesweep,G,0.0,0,,6481,15112.0,,,1126.59667,1114.05347,2.0,5.0,,,,
175,DUSP1_timesweep,G,0.0,0,,8375,13230.0,,,1173.11033,1210.97725,5.0,14.0,,,,
176,DUSP1_timesweep,G,0.0,0,,8642,20020.0,,,1205.93242,1317.86813,34.0,177.0,,,,
177,DUSP1_timesweep,G,0.0,0,,7871,19441.0,,,1254.82073,1309.53788,27.0,143.0,,,,
178,DUSP1_timesweep,G,0.0,0,,9675,18338.0,,,1398.97065,1502.69151,104.0,296.0,5.0,,,
179,DUSP1_timesweep,G,0.0,0,,9900,20528.0,,,1390.9702,1425.92216,36.0,169.0,,,,
180,DUSP1_timesweep,G,0.0,0,,7739,14930.0,,,1156.09627,1225.56189,3.0,27.0,,,,
181,DUSP1_timesweep,G,0.0,0,,9499,20476.0,,,1289.7904,1338.74946,23.0,100.0,,,,
182,DUSP1_timesweep,G,0.0,0,,9404,16524.0,,,1347.8088,1408.72131,17.0,101.0,,,,
183,DUSP1_timesweep,G,0.0,0,,8954,18551.0,,,1323.46482,1380.19859,28.0,107.0,,,,
184,DUSP1_timesweep,G,0.0,0,,8874,19921.0,,,1191.41988,1216.07409,15.0,21.0,,,,
185,DUSP1_timesweep,G,0.0,0,,8003,17090.0,,,1159.31288,1156.6498,25.0,37.0,,,,
186,DUSP1_timesweep,G,0.0,0,,8465,14484.0,,,1215.79681,1162.78079,22.0,24.0,,,,
187,DUSP1_timesweep,G,0.0,0,,9762,12716.0,,,1284.65325,1325.17018,39.0,75.0,,,,
188,DUSP1_timesweep,G,0.0,0,,11436,17977.0,,,1187.40775,1194.46198,33.0,56.0,,,,
189,DUSP1_timesweep,G,0.0,0,,10499,14427.0,,,1330.04038,1400.98579,26.0,110.0,,,,
190,DUSP1_timesweep,G,0.0,0,,9873,15513.0,,,1221.03626,1308.97351,17.0,80.0,4.0,,,
191,DUSP1_timesweep,G,0.0,0,,7893,17009.0,,,1376.69125,1430.89958,25.0,133.0,,,,
