Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int_round,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
58,DUSP1_timesweep,D,0,0,,10957,18961,,,1218,1217.89869,1181.80223,22,29,,,,
59,DUSP1_timesweep,D,0,0,,6284,13912,,,1043,1042.81095,1051.3796,3,8,,,,
60,DUSP1_timesweep,D,0,0,,6145,13460,,,1345,1344.13491,1275.33945,16,12,,,,
61,DUSP1_timesweep,D,0,0,,6425,13272,,,1290,1289.23253,1293.27268,12,43,,,,
62,DUSP1_timesweep,D,0,0,,7528,17253,,,1163,1162.73419,1163.35176,9,26,,,,
63,DUSP1_timesweep,D,0,0,,9407,16910,,,1408,1407.50037,1411.48096,36,120,,,,
64,DUSP1_timesweep,D,0,0,,9381,15800,,,1274,1273.1098,1259.86804,9,30,,,,
65,DUSP1_timesweep,D,0,0,,8427,12459,,,1462,1461.84692,1443.09182,39,54,,,,
66,DUSP1_timesweep,D,0,0,,7372,16405,,,1437,1436.10241,1351.42847,23,33,,,,
67,DUSP1_timesweep,D,0,0,,8861,14994,,,1333,1332.9912,1326.3382,23,36,,,,
68,DUSP1_timesweep,D,0,0,,7625,15257,,,1432,1431.30308,1391.56676,20,41,,,,
69,DUSP1_timesweep,D,0,0,,8867,18919,,,1233,1232.97587,1238.11089,3,26,,,,
70,DUSP1_timesweep,D,0,0,,8216,16787,,,1207,1206.16833,1246.75004,1,11,,,,
71,DUSP1_timesweep,D,0,0,,6008,16154,,,1201,1200.25982,1156.73938,19,34,,,,
72,DUSP1_timesweep,D,0,0,,7323,13763,,,1183,1182.76103,1229.40812,11,33,,,,
73,DUSP1_timesweep,D,0,0,,8727,13372,,,1265,1264.4454,1215.04801,44,46,4,,,
74,DUSP1_timesweep,D,0,0,,7286,13016,,,1121,1120.60939,1085.01951,2,6,,,,
75,DUSP1_timesweep,D,0,0,,8579,13940,,,1279,1278.53316,1271.65014,15,33,,,,
76,DUSP1_timesweep,D,0,0,,7259,13720,,,1402,1401.29591,1329.90044,31,46,,,,
77,DUSP1_timesweep,D,0,0,,9607,13291,,,1226,1225.70896,1231.90821,21,38,,,,
78,DUSP1_timesweep,D,0,0,,7767,14335,,,1368,1367.87988,1351.45839,25,33,,,,
79,DUSP1_timesweep,D,0,0,,7423,12469,,,1416,1415.45278,1418.7833,13,41,,,,
80,DUSP1_timesweep,D,0,0,,8371,17403,,,1360,1359.14909,1304.8783,21,23,,,,
81,DUSP1_timesweep,D,0,0,,7431,12765,,,1469,1468.76114,1412.47505,25,32,,,,
82,DUSP1_timesweep,D,0,0,,8050,12520,,,1137,1136.8236,1135.27013,1,2,,,,
83,DUSP1_timesweep,D,0,0,,8013,15586,,,1189,1188.59291,1172.7816,12,15,,,,
84,DUSP1_timesweep,D,0,0,,8243,15375,,,1263,1262.1918,1221.10816,9,25,,,,
85,DUSP1_timesweep,D,0,0,,10801,16232,,,1299,1298.55513,1306.03438,50,97,,,,
86,DUSP1_timesweep,D,0,0,,10183,17903,,,1419,1418.40263,1408.91744,56,138,,,,
87,DUSP1_timesweep,D,0,0,,8232,13964,,,1444,1443.79337,1400.26568,34,69,,,,
88,DUSP1_timesweep,D,0,0,,9470,17604,,,1396,1395.82788,1384.44535,15,46,,,,
89,DUSP1_timesweep,D,0,0,,6643,13261,,,1341,1340.72016,1318.22464,18,38,,,,
90,DUSP1_timesweep,D,0,0,,9737,19030,,,1362,1361.68522,1338.66779,31,69,,,,
91,DUSP1_timesweep,D,0,0,,8480,18428,,,1213,1212.70861,1262.41041,19,56,,,,
92,DUSP1_timesweep,D,0,0,,7470,17762,,,1174,1173.00535,1153.46183,18,25,,,,
93,DUSP1_timesweep,D,0,0,,8002,12389,,,1336,1335.32417,1297.59819,23,33,,,,
94,DUSP1_timesweep,D,0,0,,6149,12682,,,1349,1348.1867,1351.63862,20,25,,,,
95,DUSP1_timesweep,D,0,0,,9374,13793,,,1193,1192.51205,1169.21627,22,28,,,,
96,DUSP1_timesweep,D,0,0,,8809,17706,,,1425,1424.49404,1399.13272,37,74,,,,
97,DUSP1_timesweep,D,0,0,,8741,16314,,,1438,1437.38703,1441.62799,30,96,,,,
98,DUSP1_timesweep,D,0,0,,10722,18364,,,1281,1280.22347,1273.72604,16,33,,,,
99,DUSP1_timesweep,D,0,0,,8212,14821,,,1155,1154.98831,1166.34566,2,7,,,,
100,DUSP1_timesweep,D,0,0,,8888,20495,,,1314,1313.84023,1307.2162,21,29,,,,
101,DUSP1_timesweep,D,0,0,,9702,17001,,,1251,1250.08514,1275.73802,6,28,,,,
102,DUSP1_timesweep,D,0,0,,10691,16049,,,1292,1291.78636,1268.92087,20,43,,,,
103,DUSP1_timesweep,D,0,0,,8287,18842,,,1162,1161.9346,1137.65492,9,16,,,,
104,DUSP1_timesweep,D,0,0,,3303,16228,,,1158,1157.10566,1174.08208,11,49,,,,
105,DUSP1_timesweep,D,0,0,,9324,18689,,,1100,1099.80212,1115.56477,7,14,,,,
106,DUSP1_timesweep,D,0,0,,9012,15815,,,1351,1350.33921,1327.9233,32,82,,,,
107,DUSP1_timesweep,D,0,0,,8181,13939,,,1508,1507.5096,1422.28309,106,119,,,,
108,DUSP1_timesweep,D,0,0,,8117,18059,,,1345,1344.07392,1315.8387,18,28,,,,
109,DUSP1_timesweep,D,0,0,,7058,16427,,,1223,1222.27997,1185.95568,4,19,,,,
110,DUSP1_timesweep,D,0,0,,8150,18188,,,1208,1207.68319,1192.77843,4,15,,,,
111,DUSP1_timesweep,D,0,0,,2741,12683,,,1133,1132.42211,1127.16455,4,23,,,,
112,DUSP1_timesweep,D,0,0,,9150,17699,,,1192,1191.93596,1160.88429,17,29,,,,
113,DUSP1_timesweep,D,0,0,,7182,16050,,,1301,1300.8474,1287.08586,17,57,,,,
114,DUSP1_timesweep,D,0,0,,8577,20153,,,1325,1324.62912,1307.90304,17,51,,,,
115,DUSP1_timesweep,D,0,0,,7087,15332,,,1316,1315.94455,1294.37295,44,103,,,,
116,DUSP1_timesweep,D,0,0,,8984,15491,,,1339,1338.0482,1350.55374,21,78,,,,
117,DUSP1_timesweep,D,0,0,,7269,12250,,,1199,1198.70395,1210.53192,3,6,,,,
118,DUSP1_timesweep,D,0,0,,7434,12143,,,1271,1270.30307,1315.99325,4,38,,,,
119,DUSP1_timesweep,D,0,0,,8198,16663,,,1209,1208.7647,1220.99094,12,29,,,,
120,DUSP1_timesweep,D,0,0,,9612,19475,,,1194,1193.4562,1203.34809,6,39,,,,
121,DUSP1_timesweep,D,0,0,,8250,17472,,,1321,1320.94752,1328.06239,29,70,,,,
122,DUSP1_timesweep,D,0,0,,6982,15610,,,1329,1328.50329,1313.35074,12,32,,,,
123,DUSP1_timesweep,D,0,0,,8769,17298,,,1420,1419.17722,1386.39253,24,59,,,,
124,DUSP1_timesweep,D,0,0,,8185,20135,,,1269,1268.10226,1220.46928,8,17,,,,
125,DUSP1_timesweep,D,0,0,,8994,19412,,,1396,1395.6859,1396.60411,14,45,,,,
126,DUSP1_timesweep,D,0,0,,8495,13777,,,1274,1273.2219,1216.7702,8,15,,,,
127,DUSP1_timesweep,D,0,0,,7063,16584,,,1183,1182.2431,1157.78437,12,22,,,,
128,DUSP1_timesweep,D,0,0,,5333,16269,,,1279,1278.54022,1262.64153,28,89,,,,
129,DUSP1_timesweep,D,0,0,,8198,17057,,,1273,1272.68566,1218.84435,1,9,,,,
130,DUSP1_timesweep,D,0,0,,7895,13726,,,1411,1410.04573,1397.54466,35,74,,,,
131,DUSP1_timesweep,D,0,0,,7411,12574,,,1297,1296.81231,1254.76603,10,33,,,,
132,DUSP1_timesweep,D,0,0,,8078,19293,,,1325,1324.60547,1309.83388,9,19,,,,
133,DUSP1_timesweep,D,0,0,,9074,19746,,,1211,1210.78124,1147.82133,10,15,,,,
134,DUSP1_timesweep,D,0,0,,9264,17079,,,1320,1319.45779,1327.40676,21,56,,,,
135,DUSP1_timesweep,D,0,0,,8311,12862,,,1058,1057.34256,1074.86448,1,4,,,,
136,DUSP1_timesweep,D,0,0,,8098,13146,,,1216,1215.92109,1189.49977,6,15,,,,
137,DUSP1_timesweep,D,0,0,,7092,18985,,,1110,1109.35195,1177.38509,15,125,,,,
138,DUSP1_timesweep,D,0,0,,10022,17683,,,1416,1415.97745,1434.67873,29,109,,,,
139,DUSP1_timesweep,D,0,0,,10280,17799,,,1421,1420.65807,1411.91882,36,65,,,,
140,DUSP1_timesweep,D,0,0,,8301,12107,,,1376,1375.11613,1379.32874,22,40,,,,
141,DUSP1_timesweep,D,0,0,,8043,18469,,,1435,1434.36156,1397.28323,22,59,,,,
142,DUSP1_timesweep,D,0,0,,10367,18350,,,1257,1256.45114,1240.79117,6,28,,,,
143,DUSP1_timesweep,D,0,0,,8743,14975,,,1367,1366.63971,1349.0398,13,24,,,,
144,DUSP1_timesweep,D,0,0,,9525,20305,,,1326,1325.55024,1310.21601,28,57,,,,
145,DUSP1_timesweep,D,0,0,,9258,14288,,,1384,1383.86995,1345.05977,31,38,,,,
146,DUSP1_timesweep,D,0,0,,6453,14711,,,1257,1256.41733,1287.90531,4,27,,,,
147,DUSP1_timesweep,D,0,0,,7765,15473,,,1377,1376.41146,1359.74032,20,52,,,,
148,DUSP1_timesweep,D,0,0,,5850,14462,,,1355,1354.72684,1263.14811,6,11,41,,,
149,DUSP1_timesweep,D,0,0,,7589,17388,,,1423,1422.6151,1385.1168,56,126,,,,
150,DUSP1_timesweep,D,0,0,,6838,14209,,,1273,1272.52062,1239.26891,5,13,,,,
151,DUSP1_timesweep,D,0,0,,9448,19514,,,1330,1329.91226,1324.61991,28,71,,,,
152,DUSP1_timesweep,D,0,0,,8702,17983,,,1078,1077.45794,1079.07429,6,10,,,,
153,DUSP1_timesweep,D,0,0,,9062,15035,,,1280,1279.64853,1284.36089,28,49,,,,
154,DUSP1_timesweep,D,0,0,,9739,14076,,,1427,1426.19951,1404.29731,41,46,,,,
155,DUSP1_timesweep,D,0,0,,8305,14902,,,1393,1392.0879,1389.60334,9,26,,,,
156,DUSP1_timesweep,D,0,0,,9095,15557,,,1341,1340.38549,1295.08491,9,30,,,,
157,DUSP1_timesweep,D,0,0,,9065,14448,,,1315,1314.00794,1330.31181,4,19,,,,
