Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,normgrnuc,normgrcyt
38,GR_timesweep,A,0,0,NaN,7669,14738.3492990366,2303.8284,2860.44444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,19
39,GR_timesweep,A,0,0,NaN,8450,16337.3159206628,2861.61609,2656.22636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17
40,GR_timesweep,A,0,0,NaN,7583,14568.7111008018,3185.6686,2894.90323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,19
41,GR_timesweep,A,0,0,NaN,4617,9499.09290862301,1701.81113,1760.80826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8
42,GR_timesweep,A,0,0,NaN,8615,16688.5915003628,3006.06976,2616.9087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,16
43,GR_timesweep,A,0,0,NaN,9089,17723.8401143351,2129.57718,2227.56012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,13
44,GR_timesweep,A,0,0,NaN,7556,14515.71580346,2081.86342,2398.33436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,14
45,GR_timesweep,A,0,0,NaN,6179,11979.7402098017,2578.3923,3032.2971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,20
46,GR_timesweep,A,0,0,NaN,7981,15364.4934427513,2010.06503,2147.61656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
47,GR_timesweep,A,0,0,NaN,3973,8598.90131615005,1701.15001,1717.72989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8
48,GR_timesweep,A,0,0,NaN,2164,6453.07429756652,1977.06932,1964.6893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,10
49,GR_timesweep,A,0,0,NaN,2536,6848.22258371547,3107.25868,3501.13573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,25
