Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
47,DUSP1_timesweep,J,0.0,0,,6580,13410.0,,,986.51018,935.66913,34.0,38.0,,,,
48,DUSP1_timesweep,J,0.0,0,,11292,19780.0,,,891.80083,870.53534,30.0,65.0,,,,
49,DUSP1_timesweep,J,0.0,0,,9535,19175.0,,,1008.3913,984.73784,41.0,48.0,,,,
50,DUSP1_timesweep,J,0.0,0,,7586,17707.0,,,932.57435,895.59728,24.0,45.0,,,,
51,DUSP1_timesweep,J,0.0,0,,7392,19730.0,,,1009.47714,985.62575,23.0,36.0,,,,
52,DUSP1_timesweep,J,0.0,0,,4704,20305.0,,,857.25149,855.81295,21.0,36.0,,,,
53,DUSP1_timesweep,J,0.0,0,,8891,15955.0,,,881.38443,864.7189,9.0,4.0,,,,
54,DUSP1_timesweep,J,0.0,0,,9681,17288.0,,,810.31898,811.89767,14.0,32.0,,,,
55,DUSP1_timesweep,J,0.0,0,,7011,12650.0,,,738.26958,761.90142,9.0,21.0,,,,
56,DUSP1_timesweep,J,0.0,0,,5078,13494.0,,,792.94919,820.07159,6.0,16.0,,,,
57,DUSP1_timesweep,J,0.0,0,,10585,18811.0,,,949.07936,899.59093,39.0,52.0,,,,
58,DUSP1_timesweep,J,0.0,0,,10189,16006.0,,,949.57925,912.93259,39.0,28.0,,,,
59,DUSP1_timesweep,J,0.0,0,,9318,20000.0,,,862.29524,855.4665,18.0,15.0,,,,
60,DUSP1_timesweep,J,0.0,0,,8712,17270.0,,,1036.41242,997.76479,62.0,92.0,4.0,,,
61,DUSP1_timesweep,J,0.0,0,,7886,16006.0,,,961.73878,958.86724,15.0,28.0,,,,
62,DUSP1_timesweep,J,0.0,0,,8707,12450.0,,,973.67199,956.71622,18.0,15.0,,,,
63,DUSP1_timesweep,J,0.0,0,,6651,12083.0,,,961.13547,909.05239,34.0,34.0,,,,
64,DUSP1_timesweep,J,0.0,0,,10265,17037.0,,,857.43819,844.96173,13.0,20.0,,,,
65,DUSP1_timesweep,J,0.0,0,,8219,20394.0,,,943.14892,911.51211,61.0,136.0,,,,
66,DUSP1_timesweep,J,0.0,0,,9299,18514.0,,,831.8117,809.34779,6.0,6.0,,,,
67,DUSP1_timesweep,J,0.0,0,,8647,15133.0,,,758.98473,759.63642,4.0,3.0,,,,
68,DUSP1_timesweep,J,0.0,0,,9654,17704.0,,,929.03325,896.65189,23.0,32.0,,,,
69,DUSP1_timesweep,J,0.0,0,,10826,20364.0,,,1016.46056,997.59281,42.0,79.0,,,,
70,DUSP1_timesweep,J,0.0,0,,9444,14882.0,,,1010.06438,1002.38476,34.0,46.0,,,,
71,DUSP1_timesweep,J,0.0,0,,10098,19976.0,,,965.18598,950.44879,12.0,32.0,,,,
72,DUSP1_timesweep,J,0.0,0,,9015,18168.0,,,809.37593,806.8302,19.0,22.0,,,,
73,DUSP1_timesweep,J,0.0,0,,9267,20087.0,,,858.708,839.49544,7.0,22.0,,,,
74,DUSP1_timesweep,J,0.0,0,,10666,20819.0,,,823.82908,816.04006,8.0,22.0,,,,
75,DUSP1_timesweep,J,0.0,0,,9327,19699.0,,,1020.41793,954.96264,54.0,42.0,,,,
76,DUSP1_timesweep,J,0.0,0,,10936,19206.0,,,926.7511,931.11965,19.0,21.0,,,,
77,DUSP1_timesweep,J,0.0,0,,9310,18116.0,,,984.22395,962.71351,58.0,88.0,,,,
78,DUSP1_timesweep,J,0.0,0,,7381,14835.0,,,860.32069,859.18483,5.0,7.0,,,,
79,DUSP1_timesweep,J,0.0,0,,9458,20150.0,,,847.7287,834.03216,18.0,24.0,,,,
80,DUSP1_timesweep,J,0.0,0,,7846,13199.0,,,801.29391,772.07735,2.0,6.0,,,,
81,DUSP1_timesweep,J,0.0,0,,8536,19288.0,,,957.81033,914.93721,30.0,42.0,,,,
82,DUSP1_timesweep,J,0.0,0,,7379,18030.0,,,995.10977,974.68564,20.0,40.0,,,,
83,DUSP1_timesweep,J,0.0,0,,7890,13346.0,,,948.79683,932.72861,33.0,44.0,,,,
84,DUSP1_timesweep,J,0.0,0,,8322,14384.0,,,857.40928,830.03448,12.0,22.0,,,,
85,DUSP1_timesweep,J,0.0,0,,6660,17295.0,,,809.40571,810.52142,16.0,32.0,,,,
86,DUSP1_timesweep,J,0.0,0,,8074,13672.0,,,777.05301,792.13977,6.0,22.0,,,,
87,DUSP1_timesweep,J,0.0,0,,10347,19188.0,,,866.30753,850.67308,21.0,37.0,,,,
88,DUSP1_timesweep,J,0.0,0,,8163,15515.0,,,888.04692,887.14509,25.0,43.0,,,,
89,DUSP1_timesweep,J,0.0,0,,8390,14733.0,,,947.99356,912.09183,28.0,57.0,,,,
90,DUSP1_timesweep,J,0.0,0,,8876,20419.0,,,914.33326,895.84108,22.0,19.0,,,,
91,DUSP1_timesweep,J,0.0,0,,10346,20692.0,,,904.46385,867.4523,16.0,24.0,,,,
92,DUSP1_timesweep,J,0.0,0,,7520,19801.0,,,951.21263,911.46331,15.0,26.0,,,,
93,DUSP1_timesweep,J,0.0,0,,7088,15491.0,,,899.57111,860.12291,8.0,14.0,,,,
94,DUSP1_timesweep,J,0.0,0,,7009,16337.0,,,777.88715,774.00832,3.0,1.0,,,,
