TIMES,REPS,SALT,STL1
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
0,1,0.2,0
