Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
45,DUSP1_TPL,O,0.0,0,,8163,16139.0,,,1306.84234,1211.60568,87.0,120.0,,,,,1,2,3,4,5
46,DUSP1_TPL,O,0.0,0,,8286,20435.0,,,1323.05057,1290.39506,48.0,128.0,,,,,1,2,3,4,5
47,DUSP1_TPL,O,0.0,0,,7426,12546.0,,,1141.59803,1119.7875,26.0,51.0,,,,,1,2,3,4,5
48,DUSP1_TPL,O,0.0,0,,8014,15316.0,,,1306.6984,1274.38339,59.0,128.0,,,,,1,2,3,4,5
49,DUSP1_TPL,O,0.0,0,,6632,12423.0,,,1165.34545,1149.23432,13.0,48.0,,,,,1,2,3,4,5
50,DUSP1_TPL,O,0.0,0,,8379,12109.0,,,1271.21924,1276.79181,19.0,47.0,,,,,1,2,3,4,5
51,DUSP1_TPL,O,0.0,0,,6792,8711.0,,,1128.71378,1119.28079,20.0,14.0,,,,,1,2,3,4,5
52,DUSP1_TPL,O,0.0,0,,7399,15162.0,,,1291.26571,1236.21303,33.0,70.0,,,,,1,2,3,4,5
53,DUSP1_TPL,O,0.0,0,,7237,13391.0,,,1090.03372,1068.12942,23.0,31.0,,,,,1,2,3,4,5
54,DUSP1_TPL,O,0.0,0,,6511,11121.0,,,1232.8587,1254.10584,20.0,68.0,,,,,1,2,3,4,5
55,DUSP1_TPL,O,0.0,0,,8556,16154.0,,,1239.62225,1192.04692,35.0,43.0,,,,,1,2,3,4,5
56,DUSP1_TPL,O,0.0,0,,8119,12093.0,,,1087.78175,1062.14198,13.0,33.0,,,,,1,2,3,4,5
57,DUSP1_TPL,O,0.0,0,,8520,13870.0,,,1029.98415,1012.56438,9.0,24.0,,,,,1,2,3,4,5
58,DUSP1_TPL,O,0.0,0,,8329,12698.0,,,1033.01681,1027.89447,12.0,26.0,,,,,1,2,3,4,5
59,DUSP1_TPL,O,0.0,0,,7881,12295.0,,,1322.19655,1294.40838,31.0,81.0,17.0,,,,1,2,3,4,5
60,DUSP1_TPL,O,0.0,0,,8439,16319.0,,,1221.16862,1193.088,28.0,62.0,,,,,1,2,3,4,5
